casa_idx,tipo,detector,familia,score_raw,score_norm,tau_norm,detectado
0,normal,Autoencoder,C-ML,0.067227,0.070613,0.636989,False
0,PartialBypass,Autoencoder,C-ML,0.036539,0.038126,0.636989,False
0,Smoothing,Autoencoder,C-ML,0.008955,0.008926,0.636989,False
0,FlipSchedule,Autoencoder,C-ML,0.086354,0.09086,0.636989,False
0,SuddenDrop,Autoencoder,C-ML,0.041199,0.04306,0.636989,False
0,SyntheticNoise,Autoencoder,C-ML,0.07752,0.081508,0.636989,False
0,FlatLine,Autoencoder,C-ML,0.074961,0.078799,0.636989,False
0,SpikeEvent,Autoencoder,C-ML,0.206273,0.217805,0.636989,False
1,normal,Autoencoder,C-ML,0.020797,0.021462,0.636989,False
1,PartialBypass,Autoencoder,C-ML,0.016217,0.016613,0.636989,False
1,Smoothing,Autoencoder,C-ML,0.004128,0.003816,0.636989,False
1,FlipSchedule,Autoencoder,C-ML,0.053058,0.055613,0.636989,False
1,SuddenDrop,Autoencoder,C-ML,0.05434,0.05697,0.636989,False
1,SyntheticNoise,Autoencoder,C-ML,0.027183,0.028222,0.636989,False
1,FlatLine,Autoencoder,C-ML,0.034612,0.036087,0.636989,False
1,SpikeEvent,Autoencoder,C-ML,0.136122,0.143544,0.636989,False
2,normal,Autoencoder,C-ML,0.000118,0.0,0.636989,False
2,PartialBypass,Autoencoder,C-ML,0.015349,0.015695,0.636989,False
2,Smoothing,Autoencoder,C-ML,0.006277,0.006091,0.636989,False
2,FlipSchedule,Autoencoder,C-ML,0.017745,0.018232,0.636989,False
2,SuddenDrop,Autoencoder,C-ML,0.053814,0.056414,0.636989,False
2,SyntheticNoise,Autoencoder,C-ML,0.001367,0.000894,0.636989,False
2,FlatLine,Autoencoder,C-ML,0.04324,0.04522,0.636989,False
2,SpikeEvent,Autoencoder,C-ML,0.116841,0.123134,0.636989,False
3,normal,Autoencoder,C-ML,0.03038,0.031607,0.636989,False
3,PartialBypass,Autoencoder,C-ML,0.018671,0.019211,0.636989,False
3,Smoothing,Autoencoder,C-ML,0.002991,0.002612,0.636989,False
3,FlipSchedule,Autoencoder,C-ML,0.072688,0.076394,0.636989,False
3,SuddenDrop,Autoencoder,C-ML,0.03938,0.041134,0.636989,False
3,SyntheticNoise,Autoencoder,C-ML,0.036695,0.038292,0.636989,False
3,FlatLine,Autoencoder,C-ML,0.049659,0.052015,0.636989,False
3,SpikeEvent,Autoencoder,C-ML,0.03038,0.031607,0.636989,False
4,normal,Autoencoder,C-ML,0.0,0.0,0.636989,False
4,PartialBypass,Autoencoder,C-ML,0.01727,0.017728,0.636989,False
4,Smoothing,Autoencoder,C-ML,0.003286,0.002925,0.636989,False
4,FlipSchedule,Autoencoder,C-ML,0.021467,0.022171,0.636989,False
4,SuddenDrop,Autoencoder,C-ML,0.059463,0.062393,0.636989,False
4,SyntheticNoise,Autoencoder,C-ML,0.004685,0.004406,0.636989,False
4,FlatLine,Autoencoder,C-ML,0.018709,0.019251,0.636989,False
4,SpikeEvent,Autoencoder,C-ML,0.388535,0.410747,0.636989,False
5,normal,Autoencoder,C-ML,0.019591,0.020185,0.636989,False
5,PartialBypass,Autoencoder,C-ML,0.013785,0.014039,0.636989,False
5,Smoothing,Autoencoder,C-ML,0.00695,0.006804,0.636989,False
5,FlipSchedule,Autoencoder,C-ML,0.028182,0.029279,0.636989,False
5,SuddenDrop,Autoencoder,C-ML,0.0713,0.074925,0.636989,False
5,SyntheticNoise,Autoencoder,C-ML,0.020964,0.021638,0.636989,False
5,FlatLine,Autoencoder,C-ML,0.058587,0.061467,0.636989,False
5,SpikeEvent,Autoencoder,C-ML,0.321058,0.339317,0.636989,False
6,normal,Autoencoder,C-ML,0.040585,0.042409,0.636989,False
6,PartialBypass,Autoencoder,C-ML,0.013613,0.013857,0.636989,False
6,Smoothing,Autoencoder,C-ML,0.00217,0.001744,0.636989,False
6,FlipSchedule,Autoencoder,C-ML,0.079329,0.083424,0.636989,False
6,SuddenDrop,Autoencoder,C-ML,0.0542,0.056822,0.636989,False
6,SyntheticNoise,Autoencoder,C-ML,0.070552,0.074132,0.636989,False
6,FlatLine,Autoencoder,C-ML,0.098219,0.103421,0.636989,False
