detector,par_idx,tipo,score_norm,score_base,tau_norm,detectado
RobustZMAD,0,SaltoCalibracion,0.1573,0.0112,0.0491,True
PCAT2Q,0,SaltoCalibracion,0.4457,0.0737,0.1599,True
KDE,0,SaltoCalibracion,0.3196,0.0385,0.0516,True
GMM,0,SaltoCalibracion,0.3802,0.0672,0.1474,True
KMeans,0,SaltoCalibracion,0.5945,0.1725,0.2651,True
HDBSCAN,0,SaltoCalibracion,0.6007,0.1547,0.3162,True
LOF,0,SaltoCalibracion,0.1405,0.0089,0.0183,True
OPTICS,0,SaltoCalibracion,0.5306,0.0,0.0,True
IForest,0,SaltoCalibracion,0.7601,0.491,0.633,True
OCSVM,0,SaltoCalibracion,0.7794,0.2628,0.2629,True
Autoencoder,0,SaltoCalibracion,0.6821,0.0196,0.0416,True
RobustPCA,0,SaltoCalibracion,0.2478,0.0177,0.0507,True
Conformal,0,SaltoCalibracion,1.0,0.5034,0.8624,True
SigKernel_d2,0,SaltoCalibracion,0.6686,0.6933,0.9139,False
SigMaHaKNN_d2_k3,0,SaltoCalibracion,0.2554,0.0,0.0,True
SigMaHaKNN_d2_k10,0,SaltoCalibracion,0.346,0.0,0.0,True
SigMaHaKNN_d2_k20,0,SaltoCalibracion,0.3138,0.0001,0.0004,True
SigKernel_d3,0,SaltoCalibracion,0.4768,0.4352,0.5325,False
SigMaHaKNN_d3_k3,0,SaltoCalibracion,0.2257,0.0,0.0,True
SigMaHaKNN_d3_k10,0,SaltoCalibracion,0.2323,0.0,0.0,True
SigMaHaKNN_d3_k20,0,SaltoCalibracion,0.2484,0.0,0.0,True
SigConformancia_d2,0,SaltoCalibracion,0.2781,0.0002,0.0005,True
LogSigMaHa_d2,0,SaltoCalibracion,0.2532,0.0026,0.0029,True
RobustZMAD,1,SaltoCalibracion,0.0122,0.0114,0.0491,False
PCAT2Q,1,SaltoCalibracion,0.0595,0.0458,0.1599,False
KDE,1,SaltoCalibracion,0.0289,0.0247,0.0516,False
GMM,1,SaltoCalibracion,0.0691,0.0532,0.1474,False
KMeans,1,SaltoCalibracion,0.1133,0.086,0.2651,False
HDBSCAN,1,SaltoCalibracion,0.066,0.048,0.3162,False
LOF,1,SaltoCalibracion,0.0153,0.0093,0.0183,False
OPTICS,1,SaltoCalibracion,0.0511,0.0,0.0,True
IForest,1,SaltoCalibracion,0.645,0.5253,0.633,True
OCSVM,1,SaltoCalibracion,0.3029,0.1641,0.2629,True
Autoencoder,1,SaltoCalibracion,0.0596,0.0094,0.0416,True
RobustPCA,1,SaltoCalibracion,0.0419,0.0159,0.0507,False
Conformal,1,SaltoCalibracion,0.8423,0.6107,0.8624,False
SigKernel_d2,1,SaltoCalibracion,0.5713,0.4725,0.9139,False
SigMaHaKNN_d2_k3,1,SaltoCalibracion,0.0003,0.0,0.0,True
SigMaHaKNN_d2_k10,1,SaltoCalibracion,0.0003,0.0,0.0,True
SigMaHaKNN_d2_k20,1,SaltoCalibracion,0.0003,0.0002,0.0004,False
SigKernel_d3,1,SaltoCalibracion,0.3787,0.3173,0.5325,False
SigMaHaKNN_d3_k3,1,SaltoCalibracion,0.0003,0.0,0.0,True
SigMaHaKNN_d3_k10,1,SaltoCalibracion,0.0003,0.0,0.0,True
SigMaHaKNN_d3_k20,1,SaltoCalibracion,0.0003,0.0,0.0,True
SigConformancia_d2,1,SaltoCalibracion,0.0004,0.0003,0.0005,False
LogSigMaHa_d2,1,SaltoCalibracion,0.0136,0.0027,0.0029,True
RobustZMAD,2,SaltoCalibracion,0.0214,0.0063,0.0491,False
PCAT2Q,2,SaltoCalibracion,0.1834,0.0642,0.1599,True
KDE,2,SaltoCalibracion,0.1359,0.0338,0.0516,True
GMM,2,SaltoCalibracion,0.1547,0.0367,0.1474,True
KMeans,2,SaltoCalibracion,0.2462,0.0887,0.2651,False
HDBSCAN,2,SaltoCalibracion,0.3491,0.107,0.3162,True
LOF,2,SaltoCalibracion,0.0278,0.0013,0.0183,True
OPTICS,2,SaltoCalibracion,0.3259,0.0,0.0,True
IForest,2,SaltoCalibracion,0.4869,0.1535,0.633,False
OCSVM,2,SaltoCalibracion,0.3155,0.1268,0.2629,True
Autoencoder,2,SaltoCalibracion,0.082,0.0126,0.0416,True
RobustPCA,2,SaltoCalibracion,0.0615,0.0204,0.0507,True
Conformal,2,SaltoCalibracion,0.9295,0.0839,0.8624,True
SigKernel_d2,2,SaltoCalibracion,0.8626,0.9379,0.9139,False
SigMaHaKNN_d2_k3,2,SaltoCalibracion,0.1984,0.0,0.0,True
SigMaHaKNN_d2_k10,2,SaltoCalibracion,0.0424,0.0,0.0,True
SigMaHaKNN_d2_k20,2,SaltoCalibracion,0.1399,0.0002,0.0004,True
SigKernel_d3,2,SaltoCalibracion,0.5764,0.5652,0.5325,True
SigMaHaKNN_d3_k3,2,SaltoCalibracion,0.1044,0.0,0.0,True
SigMaHaKNN_d3_k10,2,SaltoCalibracion,0.1059,0.0,0.0,True
SigMaHaKNN_d3_k20,2,SaltoCalibracion,0.1018,0.0,0.0,True
SigConformancia_d2,2,SaltoCalibracion,0.1778,0.0001,0.0005,True
LogSigMaHa_d2,2,SaltoCalibracion,0.2776,0.002,0.0029,True
RobustZMAD,3,DerivaSensor,0.023,0.0121,0.0491,False
PCAT2Q,3,DerivaSensor,0.5152,0.1574,0.1599,True
KDE,3,DerivaSensor,0.4251,0.0511,0.0516,True
GMM,3,DerivaSensor,0.4815,0.1111,0.1474,True
KMeans,3,DerivaSensor,0.6397,0.3081,0.2651,True
HDBSCAN,3,DerivaSensor,0.6982,0.3143,0.3162,True
LOF,3,DerivaSensor,0.0517,0.0027,0.0183,True
OPTICS,3,DerivaSensor,0.6476,0.0,0.0,True
IForest,3,DerivaSensor,0.7816,0.2715,0.633,True
OCSVM,3,DerivaSensor,0.5352,0.1823,0.2629,True
Autoencoder,3,DerivaSensor,0.2485,0.0442,0.0416,True
RobustPCA,3,DerivaSensor,0.1312,0.0476,0.0507,True
Conformal,3,DerivaSensor,1.0,0.0705,0.8624,True
SigKernel_d2,3,DerivaSensor,0.9685,0.8315,0.9139,True
SigMaHaKNN_d2_k3,3,DerivaSensor,1.0,0.0,0.0,True
SigMaHaKNN_d2_k10,3,DerivaSensor,0.1979,0.0,0.0,True
SigMaHaKNN_d2_k20,3,DerivaSensor,0.806,0.0001,0.0004,True
SigKernel_d3,3,DerivaSensor,0.6971,0.5096,0.5325,True
SigMaHaKNN_d3_k3,3,DerivaSensor,0.6868,0.0,0.0,True
SigMaHaKNN_d3_k10,3,DerivaSensor,0.7016,0.0,0.0,True
SigMaHaKNN_d3_k20,3,DerivaSensor,0.7501,0.0,0.0,True
SigConformancia_d2,3,DerivaSensor,0.9398,0.0,0.0005,True
LogSigMaHa_d2,3,DerivaSensor,1.0,0.0006,0.0029,True
RobustZMAD,4,DerivaSensor,0.718,0.0094,0.0491,True
PCAT2Q,4,DerivaSensor,0.2927,0.1583,0.1599,True
KDE,4,DerivaSensor,0.12,0.0518,0.0516,True
GMM,4,DerivaSensor,0.2373,0.1424,0.1474,True
