detector,par_idx,tipo,score_norm,score_base,tau_norm,detectado
RobustZMAD,0,CrisisEpileptica,0.5059,0.0347,0.0538,True
PCAT2Q,0,CrisisEpileptica,0.5859,0.0588,0.163,True
KDE,0,CrisisEpileptica,0.4744,0.0268,0.0422,True
GMM,0,CrisisEpileptica,0.6547,0.0611,0.154,True
KMeans,0,CrisisEpileptica,0.7021,0.1036,0.3025,True
HDBSCAN,0,CrisisEpileptica,0.6223,0.0472,0.34,True
LOF,0,CrisisEpileptica,0.9337,0.0147,0.0546,True
OPTICS,0,CrisisEpileptica,0.6828,0.0,0.0,True
IForest,0,CrisisEpileptica,0.9059,0.1592,0.2889,True
OCSVM,0,CrisisEpileptica,0.9999,0.1373,0.2539,True
Autoencoder,0,CrisisEpileptica,0.9353,0.0149,0.049,True
RobustPCA,0,CrisisEpileptica,0.9723,0.0474,0.0982,True
Conformal,0,CrisisEpileptica,1.0,0.4358,0.8879,True
SigKernel_d2,0,CrisisEpileptica,0.2772,0.3676,0.5595,False
SigMaHaKNN_d2_k3,0,CrisisEpileptica,0.1495,0.0,0.0,True
SigMaHaKNN_d2_k10,0,CrisisEpileptica,0.1142,0.0,0.0,True
SigMaHaKNN_d2_k20,0,CrisisEpileptica,0.0483,0.0,0.0,True
SigKernel_d3,0,CrisisEpileptica,0.2457,0.5295,0.6557,False
SigMaHaKNN_d3_k3,0,CrisisEpileptica,0.1147,0.0,0.0,True
SigMaHaKNN_d3_k10,0,CrisisEpileptica,0.1005,0.0,0.0,True
SigMaHaKNN_d3_k20,0,CrisisEpileptica,0.0784,0.0,0.0,True
SigConformancia_d2,0,CrisisEpileptica,0.1178,0.0219,0.122,False
LogSigMaHa_d2,0,CrisisEpileptica,0.0595,0.0,0.0,True
RobustZMAD,1,CrisisEpileptica,0.4825,0.0314,0.0538,True
PCAT2Q,1,CrisisEpileptica,0.8193,0.0258,0.163,True
KDE,1,CrisisEpileptica,0.8338,0.0092,0.0422,True
GMM,1,CrisisEpileptica,0.9258,0.0349,0.154,True
KMeans,1,CrisisEpileptica,0.9314,0.1391,0.3025,True
HDBSCAN,1,CrisisEpileptica,0.8936,0.0334,0.34,True
LOF,1,CrisisEpileptica,1.0,0.0426,0.0546,True
OPTICS,1,CrisisEpileptica,0.9144,0.0,0.0,True
IForest,1,CrisisEpileptica,1.0,0.276,0.2889,True
OCSVM,1,CrisisEpileptica,1.0,0.2538,0.2539,True
Autoencoder,1,CrisisEpileptica,1.0,0.0499,0.049,True
RobustPCA,1,CrisisEpileptica,1.0,0.0985,0.0982,True
Conformal,1,CrisisEpileptica,1.0,0.7276,0.8879,True
SigKernel_d2,1,CrisisEpileptica,0.0,0.5596,0.5595,False
SigMaHaKNN_d2_k3,1,CrisisEpileptica,0.0749,0.0,0.0,True
SigMaHaKNN_d2_k10,1,CrisisEpileptica,0.0422,0.0,0.0,True
SigMaHaKNN_d2_k20,1,CrisisEpileptica,0.0485,0.0,0.0,True
SigKernel_d3,1,CrisisEpileptica,0.0,0.6338,0.6557,False
SigMaHaKNN_d3_k3,1,CrisisEpileptica,0.0796,0.0,0.0,True
SigMaHaKNN_d3_k10,1,CrisisEpileptica,0.0524,0.0,0.0,True
SigMaHaKNN_d3_k20,1,CrisisEpileptica,0.0379,0.0,0.0,True
SigConformancia_d2,1,CrisisEpileptica,0.0,0.1389,0.122,False
LogSigMaHa_d2,1,CrisisEpileptica,0.0377,0.0,0.0,True
RobustZMAD,2,CrisisEpileptica,0.4923,0.009,0.0538,True
PCAT2Q,2,CrisisEpileptica,1.0,0.0268,0.163,True
KDE,2,CrisisEpileptica,1.0,0.006,0.0422,True
GMM,2,CrisisEpileptica,0.9998,0.0345,0.154,True
KMeans,2,CrisisEpileptica,1.0,0.1555,0.3025,True
HDBSCAN,2,CrisisEpileptica,1.0,0.0001,0.34,True
LOF,2,CrisisEpileptica,0.9999,0.0027,0.0546,True
OPTICS,2,CrisisEpileptica,1.0,0.0,0.0,True
IForest,2,CrisisEpileptica,0.8996,0.1024,0.2889,True
OCSVM,2,CrisisEpileptica,1.0,0.0685,0.2539,True
Autoencoder,2,CrisisEpileptica,0.9999,0.0115,0.049,True
RobustPCA,2,CrisisEpileptica,0.9767,0.0242,0.0982,True
Conformal,2,CrisisEpileptica,1.0,0.1946,0.8879,True
SigKernel_d2,2,CrisisEpileptica,0.0,0.5103,0.5595,False
SigMaHaKNN_d2_k3,2,CrisisEpileptica,0.0679,0.0,0.0,True
SigMaHaKNN_d2_k10,2,CrisisEpileptica,0.056,0.0,0.0,True
SigMaHaKNN_d2_k20,2,CrisisEpileptica,0.0483,0.0,0.0,True
SigKernel_d3,2,CrisisEpileptica,0.0,0.6201,0.6557,False
SigMaHaKNN_d3_k3,2,CrisisEpileptica,0.0828,0.0,0.0,True
SigMaHaKNN_d3_k10,2,CrisisEpileptica,0.0506,0.0,0.0,True
SigMaHaKNN_d3_k20,2,CrisisEpileptica,0.042,0.0,0.0,True
SigConformancia_d2,2,CrisisEpileptica,0.0014,0.1046,0.122,False
LogSigMaHa_d2,2,CrisisEpileptica,0.0572,0.0,0.0,True
RobustZMAD,3,PopElectrodo,0.3101,0.0687,0.0538,True
PCAT2Q,3,PopElectrodo,0.0819,0.0625,0.163,False
KDE,3,PopElectrodo,0.0733,0.0241,0.0422,True
GMM,3,PopElectrodo,0.0897,0.0654,0.154,False
KMeans,3,PopElectrodo,0.2098,0.0879,0.3025,False
HDBSCAN,3,PopElectrodo,0.1912,0.0687,0.34,False
LOF,3,PopElectrodo,0.2339,0.0109,0.0546,True
OPTICS,3,PopElectrodo,0.2604,0.0,0.0,True
IForest,3,PopElectrodo,0.206,0.0723,0.2889,False
OCSVM,3,PopElectrodo,0.8126,0.1745,0.2539,True
Autoencoder,3,PopElectrodo,0.1855,0.0235,0.049,True
RobustPCA,3,PopElectrodo,0.3116,0.0432,0.0982,True
Conformal,3,PopElectrodo,1.0,0.393,0.8879,True
SigKernel_d2,3,PopElectrodo,0.403,0.4371,0.5595,False
SigMaHaKNN_d2_k3,3,PopElectrodo,0.1113,0.0,0.0,True
SigMaHaKNN_d2_k10,3,PopElectrodo,0.1013,0.0,0.0,True
SigMaHaKNN_d2_k20,3,PopElectrodo,0.103,0.0,0.0,True
SigKernel_d3,3,PopElectrodo,0.4906,0.5269,0.6557,False
SigMaHaKNN_d3_k3,3,PopElectrodo,0.0973,0.0,0.0,True
SigMaHaKNN_d3_k10,3,PopElectrodo,0.092,0.0,0.0,True
SigMaHaKNN_d3_k20,3,PopElectrodo,0.0765,0.0,0.0,True
SigConformancia_d2,3,PopElectrodo,0.0525,0.0392,0.122,False
LogSigMaHa_d2,3,PopElectrodo,0.1005,0.0,0.0,True
RobustZMAD,4,PopElectrodo,0.3435,0.0456,0.0538,True
PCAT2Q,4,PopElectrodo,0.183,0.0652,0.163,True
KDE,4,PopElectrodo,0.1292,0.0359,0.0422,True
GMM,4,PopElectrodo,0.175,0.0821,0.154,True
KMeans,4,PopElectrodo,0.342,0.1774,0.3025,True
HDBSCAN,4,PopElectrodo,0.3627,0.2229,0.34,True
LOF,4,PopElectrodo,0.1218,0.0106,0.0546,True
OPTICS,4,PopElectrodo,0.3129,0.0,0.0,True
IForest,4,PopElectrodo,0.2184,0.1156,0.2889,False
OCSVM,4,PopElectrodo,0.5806,0.1017,0.2539,True
Autoencoder,4,PopElectrodo,0.094,0.0204,0.049,True
RobustPCA,4,PopElectrodo,0.1645,0.0366,0.0982,True
Conformal,4,PopElectrodo,1.0,0.4008,0.8879,True
SigKernel_d2,4,PopElectrodo,0.4409,0.4749,0.5595,False
SigMaHaKNN_d2_k3,4,PopElectrodo,0.1112,0.0,0.0,True
SigMaHaKNN_d2_k10,4,PopElectrodo,0.094,0.0,0.0,True
SigMaHaKNN_d2_k20,4,PopElectrodo,0.0796,0.0,0.0,True
SigKernel_d3,4,PopElectrodo,0.5896,0.598,0.6557,False
SigMaHaKNN_d3_k3,4,PopElectrodo,0.1228,0.0,0.0,True
SigMaHaKNN_d3_k10,4,PopElectrodo,0.1066,0.0,0.0,True
SigMaHaKNN_d3_k20,4,PopElectrodo,0.0978,0.0,0.0,True
SigConformancia_d2,4,PopElectrodo,0.0592,0.0432,0.122,False
LogSigMaHa_d2,4,PopElectrodo,0.0978,0.0,0.0,True
RobustZMAD,5,PopElectrodo,0.3701,0.0674,0.0538,True
PCAT2Q,5,PopElectrodo,0.1864,0.0818,0.163,True
KDE,5,PopElectrodo,0.1105,0.0375,0.0422,True
GMM,5,PopElectrodo,0.1603,0.0792,0.154,True
KMeans,5,PopElectrodo,0.283,0.162,0.3025,False
HDBSCAN,5,PopElectrodo,0.3185,0.2323,0.34,False
LOF,5,PopElectrodo,0.2043,0.0405,0.0546,True
OPTICS,5,PopElectrodo,0.2806,0.0,0.0,True
IForest,5,PopElectrodo,0.2962,0.1977,0.2889,True
OCSVM,5,PopElectrodo,0.763,0.2538,0.2539,True
Autoencoder,5,PopElectrodo,0.1533,0.0387,0.049,True
