detector,par_idx,tipo,score_norm,score_base,tau_norm,detectado
RobustZMAD,0,DDoS,0.4214,0.0223,0.1329,True
PCAT2Q,0,DDoS,0.0952,0.0005,0.0076,True
KDE,0,DDoS,0.0974,0.0,0.0016,True
GMM,0,DDoS,0.0962,0.0002,0.0076,True
KMeans,0,DDoS,0.3112,0.0006,0.0574,True
HDBSCAN,0,DDoS,0.3234,0.0019,0.0801,True
LOF,0,DDoS,0.3857,0.0009,0.0397,True
OPTICS,0,DDoS,0.3117,0.0,0.0,True
IForest,0,DDoS,0.6813,0.0,0.2988,True
OCSVM,0,DDoS,1.0,0.1371,0.4182,True
Autoencoder,0,DDoS,0.6458,0.0029,0.0509,True
RobustPCA,0,DDoS,0.4299,0.0072,0.0728,True
Conformal,0,DDoS,1.0,0.0139,0.8904,True
SigKernel_d2,0,DDoS,0.1517,0.0675,0.7195,False
SigMaHaKNN_d2_k3,0,DDoS,0.0019,0.0,0.0,True
SigMaHaKNN_d2_k10,0,DDoS,0.0099,0.0,0.0,True
SigMaHaKNN_d2_k20,0,DDoS,0.0318,0.0013,0.0016,True
SigKernel_d3,0,DDoS,0.2593,0.0871,0.6042,False
SigMaHaKNN_d3_k3,0,DDoS,0.0724,0.0,0.0,True
SigMaHaKNN_d3_k10,0,DDoS,0.0732,0.0,0.0,True
SigMaHaKNN_d3_k20,0,DDoS,0.0749,0.0,0.0,True
SigConformancia_d2,0,DDoS,0.0002,0.0002,0.0012,False
LogSigMaHa_d2,0,DDoS,0.0435,0.0,0.0,True
RobustZMAD,1,DDoS,1.0,0.2658,0.1329,True
PCAT2Q,1,DDoS,1.0,0.0304,0.0076,True
KDE,1,DDoS,1.0,0.0016,0.0016,True
GMM,1,DDoS,1.0,0.0158,0.0076,True
KMeans,1,DDoS,1.0,0.1878,0.0574,True
HDBSCAN,1,DDoS,1.0,0.2028,0.0801,True
LOF,1,DDoS,1.0,0.0872,0.0397,True
OPTICS,1,DDoS,1.0,0.0,0.0,True
IForest,1,DDoS,0.9114,0.3566,0.2988,True
OCSVM,1,DDoS,1.0,0.7484,0.4182,True
Autoencoder,1,DDoS,0.8236,0.049,0.0509,True
RobustPCA,1,DDoS,1.0,0.1313,0.0728,True
Conformal,1,DDoS,1.0,0.9937,0.8904,True
SigKernel_d2,1,DDoS,0.2936,0.1233,0.7195,False
SigMaHaKNN_d2_k3,1,DDoS,0.0018,0.0,0.0,True
SigMaHaKNN_d2_k10,1,DDoS,0.0077,0.0,0.0,True
SigMaHaKNN_d2_k20,1,DDoS,0.0684,0.0002,0.0016,True
SigKernel_d3,1,DDoS,0.3838,0.164,0.6042,False
SigMaHaKNN_d3_k3,1,DDoS,0.1322,0.0,0.0,True
SigMaHaKNN_d3_k10,1,DDoS,0.134,0.0,0.0,True
SigMaHaKNN_d3_k20,1,DDoS,0.1346,0.0,0.0,True
SigConformancia_d2,1,DDoS,0.0002,0.0,0.0012,False
LogSigMaHa_d2,1,DDoS,0.0266,0.0,0.0,True
RobustZMAD,2,DDoS,0.2984,0.1105,0.1329,True
PCAT2Q,2,DDoS,0.1962,0.0002,0.0076,True
KDE,2,DDoS,0.1098,0.0005,0.0016,True
GMM,2,DDoS,0.1855,0.0015,0.0076,True
KMeans,2,DDoS,0.4334,0.0099,0.0574,True
HDBSCAN,2,DDoS,0.433,0.0066,0.0801,True
LOF,2,DDoS,0.3741,0.0177,0.0397,True
OPTICS,2,DDoS,0.3311,0.0,0.0,True
IForest,2,DDoS,1.0,0.1278,0.2988,True
OCSVM,2,DDoS,1.0,0.3168,0.4182,True
Autoencoder,2,DDoS,0.9458,0.0334,0.0509,True
RobustPCA,2,DDoS,0.3775,0.0508,0.0728,True
Conformal,2,DDoS,1.0,0.5243,0.8904,True
SigKernel_d2,2,DDoS,0.6474,0.4927,0.7195,False
SigMaHaKNN_d2_k3,2,DDoS,0.005,0.0,0.0,True
SigMaHaKNN_d2_k10,2,DDoS,0.0217,0.0,0.0,True
SigMaHaKNN_d2_k20,2,DDoS,0.0777,0.0011,0.0016,True
SigKernel_d3,2,DDoS,0.7925,0.478,0.6042,True
SigMaHaKNN_d3_k3,2,DDoS,0.169,0.0,0.0,True
SigMaHaKNN_d3_k10,2,DDoS,0.1655,0.0,0.0,True
SigMaHaKNN_d3_k20,2,DDoS,0.1666,0.0,0.0,True
SigConformancia_d2,2,DDoS,0.0007,0.0001,0.0012,False
LogSigMaHa_d2,2,DDoS,0.087,0.0,0.0,True
RobustZMAD,3,FugaMemoria,0.0872,0.0404,0.1329,False
PCAT2Q,3,FugaMemoria,0.0265,0.001,0.0076,True
KDE,3,FugaMemoria,0.0168,0.001,0.0016,True
GMM,3,FugaMemoria,0.0336,0.0037,0.0076,True
KMeans,3,FugaMemoria,0.1385,0.0249,0.0574,True
HDBSCAN,3,FugaMemoria,0.1115,0.0251,0.0801,True
LOF,3,FugaMemoria,0.0973,0.0026,0.0397,True
OPTICS,3,FugaMemoria,0.1269,0.0,0.0,True
IForest,3,FugaMemoria,0.4307,0.0458,0.2988,True
OCSVM,3,FugaMemoria,0.9095,0.0908,0.4182,True
Autoencoder,3,FugaMemoria,0.1497,0.0117,0.0509,True
RobustPCA,3,FugaMemoria,0.0732,0.0215,0.0728,True
Conformal,3,FugaMemoria,0.9874,0.1084,0.8904,True
SigKernel_d2,3,FugaMemoria,0.8586,0.3291,0.7195,True
SigMaHaKNN_d2_k3,3,FugaMemoria,0.0319,0.0,0.0,True
SigMaHaKNN_d2_k10,3,FugaMemoria,0.0526,0.0,0.0,True
SigMaHaKNN_d2_k20,3,FugaMemoria,0.1358,0.001,0.0016,True
SigKernel_d3,3,FugaMemoria,0.72,0.2253,0.6042,True
