,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.1,0.2,0.2,0.25,0.2,0.75,1.0,0.45,0.9,0.75,0.75,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0
PCAT2Q,0.1,1.0,0.5,0.5,0.4,0.5,0.1333,0.1,0.1,0.1111,0.1333,0.1333,0.1538,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1
KDE,0.2,0.5,1.0,1.0,0.8,1.0,0.2667,0.2,0.1818,0.2222,0.2667,0.2667,0.3077,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2
GMM,0.2,0.5,1.0,1.0,0.8,1.0,0.2667,0.2,0.1818,0.2222,0.2667,0.2667,0.3077,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2
KMeans,0.25,0.4,0.8,0.8,1.0,0.8,0.3333,0.25,0.2727,0.2778,0.3333,0.3333,0.3846,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.25
HDBSCAN,0.2,0.5,1.0,1.0,0.8,1.0,0.2667,0.2,0.1818,0.2222,0.2667,0.2667,0.3077,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2
LOF,0.75,0.1333,0.2667,0.2667,0.3333,0.2667,1.0,0.75,0.6,0.8333,1.0,0.875,0.8667,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0667,0.75
OPTICS,1.0,0.1,0.2,0.2,0.25,0.2,0.75,1.0,0.45,0.9,0.75,0.75,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0
IForest,0.45,0.1,0.1818,0.1818,0.2727,0.1818,0.6,0.45,1.0,0.5,0.6,0.6,0.6923,0.0,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.1111,0.45
OCSVM,0.9,0.1111,0.2222,0.2222,0.2778,0.2222,0.8333,0.9,0.5,1.0,0.8333,0.8333,0.7222,0.0,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.0556,0.9
Autoencoder,0.75,0.1333,0.2667,0.2667,0.3333,0.2667,1.0,0.75,0.6,0.8333,1.0,0.875,0.8667,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0667,0.75
RobustPCA,0.75,0.1333,0.2667,0.2667,0.3333,0.2667,0.875,0.75,0.6,0.8333,0.875,1.0,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0667,0.75
Conformal,0.65,0.1538,0.3077,0.3077,0.3846,0.3077,0.8667,0.65,0.6923,0.7222,0.8667,0.75,1.0,0.0,0.65,0.65,0.65,0.0,0.65,0.65,0.65,0.0769,0.65
SigKernel_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SigMaHaKNN_d2_k3,1.0,0.1,0.2,0.2,0.25,0.2,0.75,1.0,0.45,0.9,0.75,0.75,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0
SigMaHaKNN_d2_k10,1.0,0.1,0.2,0.2,0.25,0.2,0.75,1.0,0.45,0.9,0.75,0.75,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0
SigMaHaKNN_d2_k20,1.0,0.1,0.2,0.2,0.25,0.2,0.75,1.0,0.45,0.9,0.75,0.75,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0
SigKernel_d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SigMaHaKNN_d3_k3,1.0,0.1,0.2,0.2,0.25,0.2,0.75,1.0,0.45,0.9,0.75,0.75,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0
SigMaHaKNN_d3_k10,1.0,0.1,0.2,0.2,0.25,0.2,0.75,1.0,0.45,0.9,0.75,0.75,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0
SigMaHaKNN_d3_k20,1.0,0.1,0.2,0.2,0.25,0.2,0.75,1.0,0.45,0.9,0.75,0.75,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0
SigConformancia_d2,0.05,0.0,0.0,0.0,0.0,0.0,0.0667,0.05,0.1111,0.0556,0.0667,0.0667,0.0769,0.0,0.05,0.05,0.05,0.0,0.05,0.05,0.05,1.0,0.05
LogSigMaHa_d2,1.0,0.1,0.2,0.2,0.25,0.2,0.75,1.0,0.45,0.9,0.75,0.75,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0
