,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.1111,0.1,0.1053,0.0625,0.2,0.1111,0.1,0.1429,0.1,0.1,0.0909,0.1538,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1
PCAT2Q,0.1111,1.0,0.4,0.4211,0.5333,0.5,0.4444,0.4,0.4,0.4,0.4,0.5,0.6154,0.0,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.0909,0.4
KDE,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
GMM,0.1053,0.4211,0.95,1.0,0.7895,0.2105,0.9474,0.95,0.3158,0.95,0.95,0.5263,0.6842,0.0,0.95,0.95,0.95,0.0,0.95,0.95,0.95,0.2105,0.95
KMeans,0.0625,0.5333,0.75,0.7895,1.0,0.2667,0.8333,0.75,0.4,0.75,0.75,0.6667,0.5556,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.1875,0.75
HDBSCAN,0.2,0.5,0.2,0.2105,0.2667,1.0,0.2222,0.2,0.4286,0.2,0.2,0.4,0.3077,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2
LOF,0.1111,0.4444,0.9,0.9474,0.8333,0.2222,1.0,0.9,0.3333,0.9,0.9,0.5556,0.7222,0.0,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.1579,0.9
OPTICS,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
IForest,0.1429,0.4,0.3,0.3158,0.4,0.4286,0.3333,0.3,1.0,0.3,0.3,0.6,0.4615,0.0,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.1111,0.3
OCSVM,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
Autoencoder,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
RobustPCA,0.0909,0.5,0.5,0.5263,0.6667,0.4,0.5556,0.5,0.6,0.5,0.5,1.0,0.5333,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0769,0.5
Conformal,0.1538,0.6154,0.65,0.6842,0.5556,0.3077,0.7222,0.65,0.4615,0.65,0.65,0.5333,1.0,0.0,0.65,0.65,0.65,0.0,0.65,0.65,0.65,0.1333,0.65
SigKernel_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SigMaHaKNN_d2_k3,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
SigMaHaKNN_d2_k10,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
SigMaHaKNN_d2_k20,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
SigKernel_d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SigMaHaKNN_d3_k3,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
SigMaHaKNN_d3_k10,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
SigMaHaKNN_d3_k20,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
SigConformancia_d2,0.0,0.0909,0.2,0.2105,0.1875,0.0,0.1579,0.2,0.1111,0.2,0.2,0.0769,0.1333,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,1.0,0.2
LogSigMaHa_d2,0.1,0.4,1.0,0.95,0.75,0.2,0.9,1.0,0.3,1.0,1.0,0.5,0.65,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0
