,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.05,0.25,0.05,0.05,0.0,0.5,1.0,0.0,1.0,0.05,0.55,0.45,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3,1.0
PCAT2Q,0.05,1.0,0.2,1.0,1.0,0.0,0.1,0.05,0.0,0.05,0.0,0.0909,0.1111,0.3333,0.05,0.05,0.05,0.25,0.05,0.05,0.05,0.1667,0.05
KDE,0.25,0.2,1.0,0.2,0.2,0.0,0.5,0.25,0.0,0.25,0.0,0.4545,0.5556,0.3333,0.25,0.25,0.25,0.2857,0.25,0.25,0.25,0.375,0.25
GMM,0.05,1.0,0.2,1.0,1.0,0.0,0.1,0.05,0.0,0.05,0.0,0.0909,0.1111,0.3333,0.05,0.05,0.05,0.25,0.05,0.05,0.05,0.1667,0.05
KMeans,0.05,1.0,0.2,1.0,1.0,0.0,0.1,0.05,0.0,0.05,0.0,0.0909,0.1111,0.3333,0.05,0.05,0.05,0.25,0.05,0.05,0.05,0.1667,0.05
HDBSCAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOF,0.5,0.1,0.5,0.1,0.1,0.0,1.0,0.5,0.0,0.5,0.1,0.9091,0.9,0.3,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.3333,0.5
OPTICS,1.0,0.05,0.25,0.05,0.05,0.0,0.5,1.0,0.0,1.0,0.05,0.55,0.45,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3,1.0
IForest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCSVM,1.0,0.05,0.25,0.05,0.05,0.0,0.5,1.0,0.0,1.0,0.05,0.55,0.45,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3,1.0
Autoencoder,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.05,1.0,0.0909,0.1111,0.3333,0.05,0.05,0.05,0.25,0.05,0.05,0.05,0.1667,0.05
RobustPCA,0.55,0.0909,0.4545,0.0909,0.0909,0.0,0.9091,0.55,0.0,0.55,0.0909,1.0,0.8182,0.2727,0.55,0.55,0.55,0.3636,0.55,0.55,0.55,0.3077,0.55
Conformal,0.45,0.1111,0.5556,0.1111,0.1111,0.0,0.9,0.45,0.0,0.45,0.1111,0.8182,1.0,0.3333,0.45,0.45,0.45,0.3,0.45,0.45,0.45,0.3636,0.45
SigKernel_d2,0.15,0.3333,0.3333,0.3333,0.3333,0.0,0.3,0.15,0.0,0.15,0.3333,0.2727,0.3333,1.0,0.15,0.15,0.15,0.75,0.15,0.15,0.15,0.5,0.15
SigMaHaKNN_d2_k3,1.0,0.05,0.25,0.05,0.05,0.0,0.5,1.0,0.0,1.0,0.05,0.55,0.45,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3,1.0
SigMaHaKNN_d2_k10,1.0,0.05,0.25,0.05,0.05,0.0,0.5,1.0,0.0,1.0,0.05,0.55,0.45,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3,1.0
SigMaHaKNN_d2_k20,1.0,0.05,0.25,0.05,0.05,0.0,0.5,1.0,0.0,1.0,0.05,0.55,0.45,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3,1.0
SigKernel_d3,0.2,0.25,0.2857,0.25,0.25,0.0,0.4,0.2,0.0,0.2,0.25,0.3636,0.3,0.75,0.2,0.2,0.2,1.0,0.2,0.2,0.2,0.4286,0.2
SigMaHaKNN_d3_k3,1.0,0.05,0.25,0.05,0.05,0.0,0.5,1.0,0.0,1.0,0.05,0.55,0.45,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3,1.0
SigMaHaKNN_d3_k10,1.0,0.05,0.25,0.05,0.05,0.0,0.5,1.0,0.0,1.0,0.05,0.55,0.45,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3,1.0
SigMaHaKNN_d3_k20,1.0,0.05,0.25,0.05,0.05,0.0,0.5,1.0,0.0,1.0,0.05,0.55,0.45,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3,1.0
SigConformancia_d2,0.3,0.1667,0.375,0.1667,0.1667,0.0,0.3333,0.3,0.0,0.3,0.1667,0.3077,0.3636,0.5,0.3,0.3,0.3,0.4286,0.3,0.3,0.3,1.0,0.3
LogSigMaHa_d2,1.0,0.05,0.25,0.05,0.05,0.0,0.5,1.0,0.0,1.0,0.05,0.55,0.45,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3,1.0
