,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.0833,0.05,0.0526,0.0769,0.25,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.0556,0.05
PCAT2Q,0.0833,1.0,0.6,0.6316,0.9231,0.3333,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0833,0.6,0.6,0.6,0.375,0.6,0.6,0.6,0.5789,0.6
KDE,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
GMM,0.0526,0.6316,0.95,1.0,0.6842,0.2105,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.0526,0.95,0.95,0.95,0.45,0.95,0.95,0.95,0.85,0.95
KMeans,0.0769,0.9231,0.65,0.6842,1.0,0.3077,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.0769,0.65,0.65,0.65,0.3529,0.65,0.65,0.65,0.6316,0.65
HDBSCAN,0.25,0.3333,0.2,0.2105,0.3077,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0769,0.2,0.2,0.2,0.2222,0.2
LOF,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
OPTICS,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
IForest,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
OCSVM,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
Autoencoder,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
RobustPCA,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
Conformal,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
SigKernel_d2,0.0,0.0833,0.05,0.0526,0.0769,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.0,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.0556,0.05
SigMaHaKNN_d2_k3,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
SigMaHaKNN_d2_k10,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
SigMaHaKNN_d2_k20,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
SigKernel_d3,0.0,0.375,0.5,0.45,0.3529,0.0769,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5556,0.5
SigMaHaKNN_d3_k3,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
SigMaHaKNN_d3_k10,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
SigMaHaKNN_d3_k20,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
SigConformancia_d2,0.0556,0.5789,0.9,0.85,0.6316,0.2222,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0556,0.9,0.9,0.9,0.5556,0.9,0.9,0.9,1.0,0.9
LogSigMaHa_d2,0.05,0.6,1.0,0.95,0.65,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9,1.0
