,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.4444,0.45,0.4211,0.4444,0.5,0.6842,0.65,0.5294,0.7222,0.65,0.65,0.65,0.1333,0.65,0.65,0.5,0.4,0.65,0.65,0.65,0.4,0.65
PCAT2Q,0.4444,1.0,0.8125,0.9286,1.0,0.9286,0.6842,0.65,0.625,0.7222,0.65,0.65,0.65,0.2143,0.65,0.65,0.7647,0.75,0.65,0.65,0.65,0.75,0.65
KDE,0.45,0.8125,1.0,0.875,0.8125,0.875,0.75,0.8,0.6111,0.7,0.8,0.8,0.8,0.25,0.8,0.8,0.8333,0.8235,0.8,0.8,0.8,0.8235,0.8
GMM,0.4211,0.9286,0.875,1.0,0.9286,0.8667,0.65,0.7,0.5882,0.6842,0.7,0.7,0.7,0.2857,0.7,0.7,0.8235,0.8125,0.7,0.7,0.7,0.8125,0.7
KMeans,0.4444,1.0,0.8125,0.9286,1.0,0.9286,0.6842,0.65,0.625,0.7222,0.65,0.65,0.65,0.2143,0.65,0.65,0.7647,0.75,0.65,0.65,0.65,0.75,0.65
HDBSCAN,0.5,0.9286,0.875,0.8667,0.9286,1.0,0.7368,0.7,0.6875,0.7778,0.7,0.7,0.7,0.2,0.7,0.7,0.7222,0.7059,0.7,0.7,0.7,0.7059,0.7
LOF,0.6842,0.6842,0.75,0.65,0.6842,0.7368,1.0,0.95,0.6842,0.9474,0.95,0.95,0.95,0.15,0.95,0.95,0.8,0.7,0.95,0.95,0.95,0.7,0.95
OPTICS,0.65,0.65,0.8,0.7,0.65,0.7,0.95,1.0,0.65,0.9,1.0,1.0,1.0,0.2,1.0,1.0,0.85,0.75,1.0,1.0,1.0,0.75,1.0
IForest,0.5294,0.625,0.6111,0.5882,0.625,0.6875,0.6842,0.65,1.0,0.7222,0.65,0.65,0.65,0.2143,0.65,0.65,0.5,0.4737,0.65,0.65,0.65,0.4737,0.65
OCSVM,0.7222,0.7222,0.7,0.6842,0.7222,0.7778,0.9474,0.9,0.7222,1.0,0.9,0.9,0.9,0.1579,0.9,0.9,0.75,0.65,0.9,0.9,0.9,0.65,0.9
Autoencoder,0.65,0.65,0.8,0.7,0.65,0.7,0.95,1.0,0.65,0.9,1.0,1.0,1.0,0.2,1.0,1.0,0.85,0.75,1.0,1.0,1.0,0.75,1.0
RobustPCA,0.65,0.65,0.8,0.7,0.65,0.7,0.95,1.0,0.65,0.9,1.0,1.0,1.0,0.2,1.0,1.0,0.85,0.75,1.0,1.0,1.0,0.75,1.0
Conformal,0.65,0.65,0.8,0.7,0.65,0.7,0.95,1.0,0.65,0.9,1.0,1.0,1.0,0.2,1.0,1.0,0.85,0.75,1.0,1.0,1.0,0.75,1.0
SigKernel_d2,0.1333,0.2143,0.25,0.2857,0.2143,0.2,0.15,0.2,0.2143,0.1579,0.2,0.2,0.2,1.0,0.2,0.2,0.2353,0.2667,0.2,0.2,0.2,0.2667,0.2
SigMaHaKNN_d2_k3,0.65,0.65,0.8,0.7,0.65,0.7,0.95,1.0,0.65,0.9,1.0,1.0,1.0,0.2,1.0,1.0,0.85,0.75,1.0,1.0,1.0,0.75,1.0
SigMaHaKNN_d2_k10,0.65,0.65,0.8,0.7,0.65,0.7,0.95,1.0,0.65,0.9,1.0,1.0,1.0,0.2,1.0,1.0,0.85,0.75,1.0,1.0,1.0,0.75,1.0
SigMaHaKNN_d2_k20,0.5,0.7647,0.8333,0.8235,0.7647,0.7222,0.8,0.85,0.5,0.75,0.85,0.85,0.85,0.2353,0.85,0.85,1.0,0.8824,0.85,0.85,0.85,0.8824,0.85
SigKernel_d3,0.4,0.75,0.8235,0.8125,0.75,0.7059,0.7,0.75,0.4737,0.65,0.75,0.75,0.75,0.2667,0.75,0.75,0.8824,1.0,0.75,0.75,0.75,1.0,0.75
SigMaHaKNN_d3_k3,0.65,0.65,0.8,0.7,0.65,0.7,0.95,1.0,0.65,0.9,1.0,1.0,1.0,0.2,1.0,1.0,0.85,0.75,1.0,1.0,1.0,0.75,1.0
SigMaHaKNN_d3_k10,0.65,0.65,0.8,0.7,0.65,0.7,0.95,1.0,0.65,0.9,1.0,1.0,1.0,0.2,1.0,1.0,0.85,0.75,1.0,1.0,1.0,0.75,1.0
SigMaHaKNN_d3_k20,0.65,0.65,0.8,0.7,0.65,0.7,0.95,1.0,0.65,0.9,1.0,1.0,1.0,0.2,1.0,1.0,0.85,0.75,1.0,1.0,1.0,0.75,1.0
SigConformancia_d2,0.4,0.75,0.8235,0.8125,0.75,0.7059,0.7,0.75,0.4737,0.65,0.75,0.75,0.75,0.2667,0.75,0.75,0.8824,1.0,0.75,0.75,0.75,1.0,0.75
LogSigMaHa_d2,0.65,0.65,0.8,0.7,0.65,0.7,0.95,1.0,0.65,0.9,1.0,1.0,1.0,0.2,1.0,1.0,0.85,0.75,1.0,1.0,1.0,0.75,1.0
