,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCAT2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMeans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDBSCAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOF,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
OPTICS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
IForest,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,0.6667,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.55,0.6,0.6,0.6,0.4444,0.6
OCSVM,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.6667,1.0,0.9,0.9,0.9,0.0526,0.9,0.9,0.9,0.85,0.9,0.9,0.9,0.6,0.9
Autoencoder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
RobustPCA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
Conformal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
SigKernel_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0526,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1053,0.1,0.1,0.1,0.1429,0.1
SigMaHaKNN_d2_k3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
SigMaHaKNN_d2_k10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
SigMaHaKNN_d2_k20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
SigKernel_d3,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.55,0.85,0.95,0.95,0.95,0.1053,0.95,0.95,0.95,1.0,0.95,0.95,0.95,0.7368,0.95
SigMaHaKNN_d3_k3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
SigMaHaKNN_d3_k10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
SigMaHaKNN_d3_k20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
SigConformancia_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4444,0.6,0.7,0.7,0.7,0.1429,0.7,0.7,0.7,0.7368,0.7,0.7,0.7,1.0,0.7
LogSigMaHa_d2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7,1.0
