,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.4286,0.2667,0.4444,0.5,0.3333,0.3077,0.2,0.2857,0.2353,0.2222,0.3333,0.4,0.1667,0.2,0.2,0.2,0.1429,0.2,0.2,0.2,0.3,0.2
PCAT2Q,0.4286,1.0,0.4,0.6667,0.8333,0.6667,0.4615,0.3,0.4286,0.3529,0.3333,0.5,0.6,0.125,0.3,0.3,0.3,0.1111,0.3,0.3,0.3,0.5,0.3
KDE,0.2667,0.4,1.0,0.6,0.3333,0.2667,0.5556,0.75,0.9333,0.8824,0.7368,0.5882,0.6667,0.125,0.75,0.75,0.75,0.1176,0.75,0.75,0.75,0.5,0.75
GMM,0.4444,0.6667,0.6,1.0,0.5556,0.4444,0.5714,0.45,0.6429,0.5294,0.5,0.6154,0.7273,0.0909,0.45,0.45,0.45,0.0833,0.45,0.45,0.45,0.5,0.45
KMeans,0.5,0.8333,0.3333,0.5556,1.0,0.8,0.3846,0.25,0.3571,0.2941,0.2778,0.4167,0.5,0.1429,0.25,0.25,0.25,0.125,0.25,0.25,0.25,0.4,0.25
HDBSCAN,0.3333,0.6667,0.2667,0.4444,0.8,1.0,0.3077,0.2,0.2857,0.2353,0.2222,0.3333,0.4,0.1667,0.2,0.2,0.2,0.1429,0.2,0.2,0.2,0.3,0.2
LOF,0.3077,0.4615,0.5556,0.5714,0.3846,0.3077,1.0,0.65,0.5,0.6667,0.7222,0.7857,0.5333,0.2308,0.65,0.65,0.65,0.3077,0.65,0.65,0.65,0.4667,0.65
OPTICS,0.2,0.3,0.75,0.45,0.25,0.2,0.65,1.0,0.7,0.85,0.9,0.6,0.5,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.45,1.0
IForest,0.2857,0.4286,0.9333,0.6429,0.3571,0.2857,0.5,0.7,1.0,0.8235,0.6842,0.5294,0.7143,0.0625,0.7,0.7,0.7,0.125,0.7,0.7,0.7,0.5333,0.7
OCSVM,0.2353,0.3529,0.8824,0.5294,0.2941,0.2353,0.6667,0.85,0.8235,1.0,0.8421,0.6111,0.5882,0.1765,0.85,0.85,0.85,0.2353,0.85,0.85,0.85,0.4444,0.85
Autoencoder,0.2222,0.3333,0.7368,0.5,0.2778,0.2222,0.7222,0.9,0.6842,0.8421,1.0,0.6667,0.5556,0.1667,0.9,0.9,0.9,0.2222,0.9,0.9,0.9,0.4211,0.9
RobustPCA,0.3333,0.5,0.5882,0.6154,0.4167,0.3333,0.7857,0.6,0.5294,0.6111,0.6667,1.0,0.6923,0.25,0.6,0.6,0.6,0.1429,0.6,0.6,0.6,0.4,0.6
Conformal,0.4,0.6,0.6667,0.7273,0.5,0.4,0.5333,0.5,0.7143,0.5882,0.5556,0.6923,1.0,0.0833,0.5,0.5,0.5,0.0769,0.5,0.5,0.5,0.4615,0.5
SigKernel_d2,0.1667,0.125,0.125,0.0909,0.1429,0.1667,0.2308,0.15,0.0625,0.1765,0.1667,0.25,0.0833,1.0,0.15,0.15,0.15,0.4,0.15,0.15,0.15,0.0909,0.15
SigMaHaKNN_d2_k3,0.2,0.3,0.75,0.45,0.25,0.2,0.65,1.0,0.7,0.85,0.9,0.6,0.5,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.45,1.0
SigMaHaKNN_d2_k10,0.2,0.3,0.75,0.45,0.25,0.2,0.65,1.0,0.7,0.85,0.9,0.6,0.5,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.45,1.0
SigMaHaKNN_d2_k20,0.2,0.3,0.75,0.45,0.25,0.2,0.65,1.0,0.7,0.85,0.9,0.6,0.5,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.45,1.0
SigKernel_d3,0.1429,0.1111,0.1176,0.0833,0.125,0.1429,0.3077,0.2,0.125,0.2353,0.2222,0.1429,0.0769,0.4,0.2,0.2,0.2,1.0,0.2,0.2,0.2,0.1818,0.2
SigMaHaKNN_d3_k3,0.2,0.3,0.75,0.45,0.25,0.2,0.65,1.0,0.7,0.85,0.9,0.6,0.5,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.45,1.0
SigMaHaKNN_d3_k10,0.2,0.3,0.75,0.45,0.25,0.2,0.65,1.0,0.7,0.85,0.9,0.6,0.5,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.45,1.0
SigMaHaKNN_d3_k20,0.2,0.3,0.75,0.45,0.25,0.2,0.65,1.0,0.7,0.85,0.9,0.6,0.5,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.45,1.0
SigConformancia_d2,0.3,0.5,0.5,0.5,0.4,0.3,0.4667,0.45,0.5333,0.4444,0.4211,0.4,0.4615,0.0909,0.45,0.45,0.45,0.1818,0.45,0.45,0.45,1.0,0.45
LogSigMaHa_d2,0.2,0.3,0.75,0.45,0.25,0.2,0.65,1.0,0.7,0.85,0.9,0.6,0.5,0.15,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.45,1.0
