,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.125,0.0714,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.0909,0.05
PCAT2Q,0.0,1.0,0.2857,1.0,0.5,0.5,0.2222,0.1,0.25,0.1429,0.1538,0.3333,0.5,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1
KDE,0.0,0.2857,1.0,0.2857,0.1429,0.1429,0.6,0.35,0.25,0.3125,0.4286,0.625,0.5714,0.0,0.35,0.35,0.35,0.0909,0.35,0.35,0.35,0.125,0.35
GMM,0.0,1.0,0.2857,1.0,0.5,0.5,0.2222,0.1,0.25,0.1429,0.1538,0.3333,0.5,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1
KMeans,0.0,0.5,0.1429,0.5,1.0,0.0,0.1111,0.05,0.125,0.0714,0.0769,0.1667,0.25,0.0,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.05
HDBSCAN,0.0,0.5,0.1429,0.5,0.0,1.0,0.1111,0.05,0.125,0.0714,0.0769,0.1667,0.25,0.0,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.05
LOF,0.0,0.2222,0.6,0.2222,0.1111,0.1111,1.0,0.45,0.2143,0.5333,0.6923,0.6667,0.4444,0.0,0.45,0.45,0.45,0.1667,0.45,0.45,0.45,0.25,0.45
OPTICS,0.05,0.1,0.35,0.1,0.05,0.05,0.45,1.0,0.4,0.7,0.65,0.3,0.2,0.2,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.55,1.0
IForest,0.125,0.25,0.25,0.25,0.125,0.125,0.2143,0.4,1.0,0.375,0.2353,0.2727,0.3333,0.2,0.4,0.4,0.4,0.0833,0.4,0.4,0.4,0.3571,0.4
OCSVM,0.0714,0.1429,0.3125,0.1429,0.0714,0.0714,0.5333,0.7,0.375,1.0,0.8,0.4286,0.2857,0.125,0.7,0.7,0.7,0.1875,0.7,0.7,0.7,0.4706,0.7
Autoencoder,0.0,0.1538,0.4286,0.1538,0.0769,0.0769,0.6923,0.65,0.2353,0.8,1.0,0.4615,0.3077,0.1333,0.65,0.65,0.65,0.2,0.65,0.65,0.65,0.3333,0.65
RobustPCA,0.0,0.3333,0.625,0.3333,0.1667,0.1667,0.6667,0.3,0.2727,0.4286,0.4615,1.0,0.6667,0.0,0.3,0.3,0.3,0.1,0.3,0.3,0.3,0.2143,0.3
Conformal,0.0,0.5,0.5714,0.5,0.25,0.25,0.4444,0.2,0.3333,0.2857,0.3077,0.6667,1.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0714,0.2
SigKernel_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.125,0.1333,0.0,0.0,1.0,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.3636,0.2
SigMaHaKNN_d2_k3,0.05,0.1,0.35,0.1,0.05,0.05,0.45,1.0,0.4,0.7,0.65,0.3,0.2,0.2,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.55,1.0
SigMaHaKNN_d2_k10,0.05,0.1,0.35,0.1,0.05,0.05,0.45,1.0,0.4,0.7,0.65,0.3,0.2,0.2,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.55,1.0
SigMaHaKNN_d2_k20,0.05,0.1,0.35,0.1,0.05,0.05,0.45,1.0,0.4,0.7,0.65,0.3,0.2,0.2,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.55,1.0
SigKernel_d3,0.0,0.0,0.0909,0.0,0.0,0.0,0.1667,0.25,0.0833,0.1875,0.2,0.1,0.0,0.5,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.3333,0.25
SigMaHaKNN_d3_k3,0.05,0.1,0.35,0.1,0.05,0.05,0.45,1.0,0.4,0.7,0.65,0.3,0.2,0.2,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.55,1.0
SigMaHaKNN_d3_k10,0.05,0.1,0.35,0.1,0.05,0.05,0.45,1.0,0.4,0.7,0.65,0.3,0.2,0.2,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.55,1.0
SigMaHaKNN_d3_k20,0.05,0.1,0.35,0.1,0.05,0.05,0.45,1.0,0.4,0.7,0.65,0.3,0.2,0.2,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.55,1.0
SigConformancia_d2,0.0909,0.0,0.125,0.0,0.0,0.0,0.25,0.55,0.3571,0.4706,0.3333,0.2143,0.0714,0.3636,0.55,0.55,0.55,0.3333,0.55,0.55,0.55,1.0,0.55
LogSigMaHa_d2,0.05,0.1,0.35,0.1,0.05,0.05,0.45,1.0,0.4,0.7,0.65,0.3,0.2,0.2,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.55,1.0
