,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.35,0.35,0.35,0.35,0.3684,0.35,0.35,0.35,0.35,0.35,0.4667,0.35,0.2778,0.35,0.35,0.35,0.3158,0.35,0.35,0.35,0.35,0.35
PCAT2Q,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
KDE,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
GMM,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
KMeans,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
HDBSCAN,0.3684,0.95,0.95,0.95,0.95,1.0,0.95,0.95,0.95,0.95,0.95,0.7895,0.95,0.75,0.95,0.95,0.95,0.85,0.95,0.95,0.95,0.95,0.95
LOF,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
OPTICS,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
IForest,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
OCSVM,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
Autoencoder,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
RobustPCA,0.4667,0.75,0.75,0.75,0.75,0.7895,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.55,0.75,0.75,0.75,0.65,0.75,0.75,0.75,0.75,0.75
Conformal,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
SigKernel_d2,0.2778,0.8,0.8,0.8,0.8,0.75,0.8,0.8,0.8,0.8,0.8,0.55,0.8,1.0,0.8,0.8,0.8,0.7895,0.8,0.8,0.8,0.8,0.8
SigMaHaKNN_d2_k3,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
SigMaHaKNN_d2_k10,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
SigMaHaKNN_d2_k20,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
SigKernel_d3,0.3158,0.9,0.9,0.9,0.9,0.85,0.9,0.9,0.9,0.9,0.9,0.65,0.9,0.7895,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9
SigMaHaKNN_d3_k3,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
SigMaHaKNN_d3_k10,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
SigMaHaKNN_d3_k20,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
SigConformancia_d2,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
LogSigMaHa_d2,0.35,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
