,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
PCAT2Q,0.4,1.0,0.4,0.5833,0.5455,0.5,0.4,0.4,0.2667,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.1111,0.4
KDE,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
GMM,0.55,0.5833,0.55,1.0,0.6667,0.3636,0.55,0.55,0.2941,0.55,0.55,0.55,0.55,0.0,0.55,0.55,0.55,0.0,0.55,0.55,0.55,0.0833,0.55
KMeans,0.45,0.5455,0.45,0.6667,1.0,0.4444,0.45,0.45,0.3333,0.45,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.1,0.45
HDBSCAN,0.2,0.5,0.2,0.3636,0.4444,1.0,0.2,0.2,0.1538,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2
LOF,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
OPTICS,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
IForest,0.55,0.2667,0.55,0.2941,0.3333,0.1538,0.55,0.55,1.0,0.55,0.55,0.55,0.55,0.0,0.55,0.55,0.55,0.0,0.55,0.55,0.55,0.0,0.55
OCSVM,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
Autoencoder,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
RobustPCA,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
Conformal,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
SigKernel_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SigMaHaKNN_d2_k3,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
SigMaHaKNN_d2_k10,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
SigMaHaKNN_d2_k20,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
SigKernel_d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SigMaHaKNN_d3_k3,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
SigMaHaKNN_d3_k10,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
SigMaHaKNN_d3_k20,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
SigConformancia_d2,0.1,0.1111,0.1,0.0833,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,1.0,0.1
LogSigMaHa_d2,1.0,0.4,1.0,0.55,0.45,0.2,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0
