,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
PCAT2Q,0.25,1.0,0.625,0.8333,0.6667,0.8333,0.2632,0.25,0.125,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.3846,0.1667,0.25,0.25,0.25,0.0,0.3333
KDE,0.4,0.625,1.0,0.75,0.625,0.75,0.4211,0.4,0.0909,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.25,0.4,0.4,0.4,0.0909,0.4375
GMM,0.3,0.8333,0.75,1.0,0.5714,0.7143,0.3158,0.3,0.1111,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3571,0.1429,0.3,0.3,0.3,0.0,0.4
KMeans,0.25,0.6667,0.625,0.5714,1.0,0.5714,0.2632,0.25,0.125,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.2857,0.1667,0.25,0.25,0.25,0.0,0.25
HDBSCAN,0.3,0.8333,0.75,0.7143,0.5714,1.0,0.3158,0.3,0.1111,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.4615,0.3333,0.3,0.3,0.3,0.1111,0.4
LOF,0.95,0.2632,0.4211,0.3158,0.2632,0.3158,1.0,0.95,0.2105,0.95,0.95,0.95,0.95,0.0,0.95,0.95,0.6,0.1053,0.95,0.95,0.95,0.15,0.7
OPTICS,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
IForest,0.2,0.125,0.0909,0.1111,0.125,0.1111,0.2105,0.2,1.0,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.1333,0.0,0.2,0.2,0.2,0.0,0.1176
OCSVM,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
Autoencoder,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
RobustPCA,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
Conformal,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
SigKernel_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SigMaHaKNN_d2_k3,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
SigMaHaKNN_d2_k10,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
SigMaHaKNN_d2_k20,0.65,0.3846,0.4,0.3571,0.2857,0.4615,0.6,0.65,0.1333,0.65,0.65,0.65,0.65,0.0,0.65,0.65,1.0,0.1538,0.65,0.65,0.65,0.3077,0.6471
SigKernel_d3,0.1,0.1667,0.25,0.1429,0.1667,0.3333,0.1053,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1538,1.0,0.1,0.1,0.1,0.2,0.1333
SigMaHaKNN_d3_k3,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
SigMaHaKNN_d3_k10,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
SigMaHaKNN_d3_k20,1.0,0.25,0.4,0.3,0.25,0.3,0.95,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.65,0.1,1.0,1.0,1.0,0.2,0.75
SigConformancia_d2,0.2,0.0,0.0909,0.0,0.0,0.1111,0.15,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.3077,0.2,0.2,0.2,0.2,1.0,0.1875
LogSigMaHa_d2,0.75,0.3333,0.4375,0.4,0.25,0.4,0.7,0.75,0.1176,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.6471,0.1333,0.75,0.75,0.75,0.1875,1.0
