,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
PCAT2Q,0.4,1.0,0.4,0.8889,0.6667,0.625,0.4,0.4,0.4167,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.0,0.4
KDE,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
GMM,0.45,0.8889,0.45,1.0,0.6,0.5556,0.45,0.45,0.3846,0.45,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.0,0.45
KMeans,0.35,0.6667,0.35,0.6,1.0,0.7143,0.35,0.35,0.2308,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.0,0.35
HDBSCAN,0.25,0.625,0.25,0.5556,0.7143,1.0,0.25,0.25,0.2727,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.25
LOF,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
OPTICS,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
IForest,0.45,0.4167,0.45,0.3846,0.2308,0.2727,0.45,0.45,1.0,0.45,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.1,0.45,0.45,0.45,0.2,0.45
OCSVM,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
Autoencoder,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
RobustPCA,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
Conformal,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
SigKernel_d2,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.05,0.05,1.0,0.05,0.05,0.05,0.5,0.05,0.05,0.05,0.3333,0.05
SigMaHaKNN_d2_k3,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
SigMaHaKNN_d2_k10,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
SigMaHaKNN_d2_k20,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
SigKernel_d3,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.25,0.1
SigMaHaKNN_d3_k3,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
SigMaHaKNN_d3_k10,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
SigMaHaKNN_d3_k20,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
SigConformancia_d2,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.2,0.15,0.15,0.15,0.15,0.3333,0.15,0.15,0.15,0.25,0.15,0.15,0.15,1.0,0.15
LogSigMaHa_d2,1.0,0.4,1.0,0.45,0.35,0.25,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.15,1.0
