,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7059,0.7368,0.7,0.7,0.7368,0.0,0.7,0.65,0.0,0.0,0.7,0.7,0.7,0.0714,0.5
PCAT2Q,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
KDE,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
GMM,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
KMeans,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
HDBSCAN,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
LOF,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
OPTICS,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
IForest,0.7059,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.7895,0.75,0.75,0.7895,0.0,0.75,0.7,0.0667,0.0,0.75,0.75,0.75,0.0667,0.5625
OCSVM,0.7368,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7895,1.0,0.95,0.95,1.0,0.0,0.95,0.9,0.0526,0.0,0.95,0.95,0.95,0.0526,0.5263
Autoencoder,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
RobustPCA,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
Conformal,0.7368,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7895,1.0,0.95,0.95,1.0,0.0,0.95,0.9,0.0526,0.0,0.95,0.95,0.95,0.0526,0.5263
SigKernel_d2,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.0,1.0,0.05,0.0526,0.0,1.0,0.05,0.05,0.05,0.0,0.0
SigMaHaKNN_d2_k3,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
SigMaHaKNN_d2_k10,0.65,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.9,0.95,0.95,0.9,0.0526,0.95,1.0,0.0526,0.0526,0.95,0.95,0.95,0.0526,0.5263
SigMaHaKNN_d2_k20,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0667,0.0526,0.05,0.05,0.0526,0.0,0.05,0.0526,1.0,0.0,0.05,0.05,0.05,0.0,0.1
SigKernel_d3,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.0,1.0,0.05,0.0526,0.0,1.0,0.05,0.05,0.05,0.0,0.0
SigMaHaKNN_d3_k3,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
SigMaHaKNN_d3_k10,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
SigMaHaKNN_d3_k20,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,1.0,1.0,0.95,0.05,1.0,0.95,0.05,0.05,1.0,1.0,1.0,0.05,0.5
SigConformancia_d2,0.0714,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0667,0.0526,0.05,0.05,0.0526,0.0,0.05,0.0526,0.0,0.0,0.05,0.05,0.05,1.0,0.0
LogSigMaHa_d2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.5263,0.5,0.5,0.5263,0.0,0.5,0.5263,0.1,0.0,0.5,0.5,0.5,0.0,1.0
