,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.2857,0.4667,0.2143,0.3571,0.3333,0.6842,0.65,0.625,0.6842,0.65,0.65,0.6842,0.0,0.65,0.65,0.4,0.1176,0.65,0.65,0.65,0.3,0.55
PCAT2Q,0.2857,1.0,0.5556,0.8,0.8333,0.7143,0.2632,0.25,0.2,0.2632,0.25,0.25,0.2632,0.0,0.25,0.25,0.25,0.1,0.25,0.25,0.25,0.2857,0.2778
KDE,0.4667,0.5556,1.0,0.4444,0.6667,0.7778,0.4737,0.45,0.4667,0.4737,0.45,0.45,0.4737,0.0,0.45,0.45,0.5,0.25,0.45,0.45,0.45,0.5714,0.5
GMM,0.2143,0.8,0.4444,1.0,0.6667,0.5714,0.2105,0.2,0.1333,0.2105,0.2,0.2,0.2105,0.0,0.2,0.2,0.2667,0.1111,0.2,0.2,0.2,0.3077,0.2222
KMeans,0.3571,0.8333,0.6667,0.6667,1.0,0.625,0.3158,0.3,0.2667,0.3158,0.3,0.3,0.3158,0.0,0.3,0.3,0.3125,0.0909,0.3,0.3,0.3,0.3571,0.3333
HDBSCAN,0.3333,0.7143,0.7778,0.5714,0.625,1.0,0.3684,0.35,0.3333,0.3684,0.35,0.35,0.3684,0.0,0.35,0.35,0.375,0.3,0.35,0.35,0.35,0.4286,0.3889
LOF,0.6842,0.2632,0.4737,0.2105,0.3158,0.3684,1.0,0.95,0.6842,1.0,0.95,0.95,1.0,0.0526,0.95,0.95,0.7,0.3158,0.95,0.95,0.95,0.6,0.85
OPTICS,0.65,0.25,0.45,0.2,0.3,0.35,0.95,1.0,0.65,0.95,1.0,1.0,0.95,0.05,1.0,1.0,0.75,0.3,1.0,1.0,1.0,0.65,0.9
IForest,0.625,0.2,0.4667,0.1333,0.2667,0.3333,0.6842,0.65,1.0,0.6842,0.65,0.65,0.6842,0.0,0.65,0.65,0.4737,0.1875,0.65,0.65,0.65,0.3684,0.6316
OCSVM,0.6842,0.2632,0.4737,0.2105,0.3158,0.3684,1.0,0.95,0.6842,1.0,0.95,0.95,1.0,0.0526,0.95,0.95,0.7,0.3158,0.95,0.95,0.95,0.6,0.85
Autoencoder,0.65,0.25,0.45,0.2,0.3,0.35,0.95,1.0,0.65,0.95,1.0,1.0,0.95,0.05,1.0,1.0,0.75,0.3,1.0,1.0,1.0,0.65,0.9
RobustPCA,0.65,0.25,0.45,0.2,0.3,0.35,0.95,1.0,0.65,0.95,1.0,1.0,0.95,0.05,1.0,1.0,0.75,0.3,1.0,1.0,1.0,0.65,0.9
Conformal,0.6842,0.2632,0.4737,0.2105,0.3158,0.3684,1.0,0.95,0.6842,1.0,0.95,0.95,1.0,0.0526,0.95,0.95,0.7,0.3158,0.95,0.95,0.95,0.6,0.85
SigKernel_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.05,0.0,0.0526,0.05,0.05,0.0526,1.0,0.05,0.05,0.0667,0.1667,0.05,0.05,0.05,0.0769,0.0556
SigMaHaKNN_d2_k3,0.65,0.25,0.45,0.2,0.3,0.35,0.95,1.0,0.65,0.95,1.0,1.0,0.95,0.05,1.0,1.0,0.75,0.3,1.0,1.0,1.0,0.65,0.9
SigMaHaKNN_d2_k10,0.65,0.25,0.45,0.2,0.3,0.35,0.95,1.0,0.65,0.95,1.0,1.0,0.95,0.05,1.0,1.0,0.75,0.3,1.0,1.0,1.0,0.65,0.9
SigMaHaKNN_d2_k20,0.4,0.25,0.5,0.2667,0.3125,0.375,0.7,0.75,0.4737,0.7,0.75,0.75,0.7,0.0667,0.75,0.75,1.0,0.4,0.75,0.75,0.75,0.8667,0.8333
SigKernel_d3,0.1176,0.1,0.25,0.1111,0.0909,0.3,0.3158,0.3,0.1875,0.3158,0.3,0.3,0.3158,0.1667,0.3,0.3,0.4,1.0,0.3,0.3,0.3,0.4615,0.3333
SigMaHaKNN_d3_k3,0.65,0.25,0.45,0.2,0.3,0.35,0.95,1.0,0.65,0.95,1.0,1.0,0.95,0.05,1.0,1.0,0.75,0.3,1.0,1.0,1.0,0.65,0.9
SigMaHaKNN_d3_k10,0.65,0.25,0.45,0.2,0.3,0.35,0.95,1.0,0.65,0.95,1.0,1.0,0.95,0.05,1.0,1.0,0.75,0.3,1.0,1.0,1.0,0.65,0.9
SigMaHaKNN_d3_k20,0.65,0.25,0.45,0.2,0.3,0.35,0.95,1.0,0.65,0.95,1.0,1.0,0.95,0.05,1.0,1.0,0.75,0.3,1.0,1.0,1.0,0.65,0.9
SigConformancia_d2,0.3,0.2857,0.5714,0.3077,0.3571,0.4286,0.6,0.65,0.3684,0.6,0.65,0.65,0.6,0.0769,0.65,0.65,0.8667,0.4615,0.65,0.65,0.65,1.0,0.7222
LogSigMaHa_d2,0.55,0.2778,0.5,0.2222,0.3333,0.3889,0.85,0.9,0.6316,0.85,0.9,0.9,0.85,0.0556,0.9,0.9,0.8333,0.3333,0.9,0.9,0.9,0.7222,1.0
