,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.2857,0.3889,0.3333,0.2857,0.2667,0.7857,0.55,0.3846,0.7333,0.5789,0.6471,0.8462,0.0909,0.55,0.55,0.5263,0.3125,0.55,0.55,0.55,0.3889,0.55
PCAT2Q,0.2857,1.0,0.5,0.7778,0.5556,0.6667,0.4,0.35,0.5556,0.375,0.3684,0.4118,0.4286,0.0,0.35,0.35,0.3889,0.4167,0.35,0.35,0.35,0.4,0.35
KDE,0.3889,0.5,1.0,0.6429,0.5,0.5714,0.5556,0.7,0.3125,0.45,0.65,0.6316,0.5,0.0,0.7,0.7,0.7778,0.6,0.7,0.7,0.7,0.75,0.7
GMM,0.3333,0.7778,0.6429,1.0,0.6,0.5455,0.4375,0.45,0.4545,0.4118,0.4,0.4444,0.4667,0.0,0.45,0.45,0.5,0.3571,0.45,0.45,0.45,0.5333,0.45
KMeans,0.2857,0.5556,0.5,0.6,1.0,0.5,0.4,0.35,0.4,0.2941,0.3684,0.4118,0.3333,0.0,0.35,0.35,0.3889,0.3077,0.35,0.35,0.35,0.4,0.35
HDBSCAN,0.2667,0.6667,0.5714,0.5455,0.5,1.0,0.375,0.4,0.3636,0.2778,0.4211,0.4706,0.3125,0.0,0.4,0.4,0.4444,0.3846,0.4,0.4,0.4,0.375,0.4
LOF,0.7857,0.4,0.5556,0.4375,0.4,0.375,1.0,0.7,0.4,0.8125,0.7368,0.8235,0.9286,0.0714,0.7,0.7,0.6842,0.4118,0.7,0.7,0.7,0.4737,0.7
OPTICS,0.55,0.35,0.7,0.45,0.35,0.4,0.7,1.0,0.35,0.75,0.95,0.85,0.65,0.05,1.0,1.0,0.9,0.5,1.0,1.0,1.0,0.7,1.0
IForest,0.3846,0.5556,0.3125,0.4545,0.4,0.3636,0.4,0.35,1.0,0.4667,0.3684,0.3333,0.4286,0.0,0.35,0.35,0.3158,0.2143,0.35,0.35,0.35,0.2353,0.35
OCSVM,0.7333,0.375,0.45,0.4118,0.2941,0.2778,0.8125,0.75,0.4667,1.0,0.7895,0.7778,0.8667,0.0667,0.75,0.75,0.65,0.3889,0.75,0.75,0.75,0.5263,0.75
Autoencoder,0.5789,0.3684,0.65,0.4,0.3684,0.4211,0.7368,0.95,0.3684,0.7895,1.0,0.8947,0.6842,0.0526,0.95,0.95,0.85,0.5263,0.95,0.95,0.95,0.65,0.95
RobustPCA,0.6471,0.4118,0.6316,0.4444,0.4118,0.4706,0.8235,0.85,0.3333,0.7778,0.8947,1.0,0.7647,0.0588,0.85,0.85,0.8421,0.5,0.85,0.85,0.85,0.6316,0.85
Conformal,0.8462,0.4286,0.5,0.4667,0.3333,0.3125,0.9286,0.65,0.4286,0.8667,0.6842,0.7647,1.0,0.0769,0.65,0.65,0.6316,0.4375,0.65,0.65,0.65,0.5,0.65
SigKernel_d2,0.0909,0.0,0.0,0.0,0.0,0.0,0.0714,0.05,0.0,0.0667,0.0526,0.0588,0.0769,1.0,0.05,0.05,0.0556,0.1,0.05,0.05,0.05,0.0714,0.05
SigMaHaKNN_d2_k3,0.55,0.35,0.7,0.45,0.35,0.4,0.7,1.0,0.35,0.75,0.95,0.85,0.65,0.05,1.0,1.0,0.9,0.5,1.0,1.0,1.0,0.7,1.0
SigMaHaKNN_d2_k10,0.55,0.35,0.7,0.45,0.35,0.4,0.7,1.0,0.35,0.75,0.95,0.85,0.65,0.05,1.0,1.0,0.9,0.5,1.0,1.0,1.0,0.7,1.0
SigMaHaKNN_d2_k20,0.5263,0.3889,0.7778,0.5,0.3889,0.4444,0.6842,0.9,0.3158,0.65,0.85,0.8421,0.6316,0.0556,0.9,0.9,1.0,0.5556,0.9,0.9,0.9,0.7778,0.9
SigKernel_d3,0.3125,0.4167,0.6,0.3571,0.3077,0.3846,0.4118,0.5,0.2143,0.3889,0.5263,0.5,0.4375,0.1,0.5,0.5,0.5556,1.0,0.5,0.5,0.5,0.7143,0.5
SigMaHaKNN_d3_k3,0.55,0.35,0.7,0.45,0.35,0.4,0.7,1.0,0.35,0.75,0.95,0.85,0.65,0.05,1.0,1.0,0.9,0.5,1.0,1.0,1.0,0.7,1.0
SigMaHaKNN_d3_k10,0.55,0.35,0.7,0.45,0.35,0.4,0.7,1.0,0.35,0.75,0.95,0.85,0.65,0.05,1.0,1.0,0.9,0.5,1.0,1.0,1.0,0.7,1.0
SigMaHaKNN_d3_k20,0.55,0.35,0.7,0.45,0.35,0.4,0.7,1.0,0.35,0.75,0.95,0.85,0.65,0.05,1.0,1.0,0.9,0.5,1.0,1.0,1.0,0.7,1.0
SigConformancia_d2,0.3889,0.4,0.75,0.5333,0.4,0.375,0.4737,0.7,0.2353,0.5263,0.65,0.6316,0.5,0.0714,0.7,0.7,0.7778,0.7143,0.7,0.7,0.7,1.0,0.7
LogSigMaHa_d2,0.55,0.35,0.7,0.45,0.35,0.4,0.7,1.0,0.35,0.75,0.95,0.85,0.65,0.05,1.0,1.0,0.9,0.5,1.0,1.0,1.0,0.7,1.0
