,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.2222,0.2941,0.2222,0.3333,0.3333,1.0,0.35,0.1429,0.875,0.4118,0.4375,0.8571,0.25,0.35,0.35,0.3158,0.25,0.35,0.35,0.35,0.1765,0.35
PCAT2Q,0.2222,1.0,0.2667,1.0,0.8,0.8,0.2222,0.2,0.0,0.2,0.2353,0.25,0.1111,0.1667,0.2,0.2,0.2222,0.3333,0.2,0.2,0.2,0.2143,0.2
KDE,0.2941,0.2667,1.0,0.2667,0.3333,0.3333,0.2941,0.75,0.0,0.3529,0.7778,0.6316,0.2353,0.125,0.75,0.75,0.8333,0.3529,0.75,0.75,0.75,0.6471,0.75
GMM,0.2222,1.0,0.2667,1.0,0.8,0.8,0.2222,0.2,0.0,0.2,0.2353,0.25,0.1111,0.1667,0.2,0.2,0.2222,0.3333,0.2,0.2,0.2,0.2143,0.2
KMeans,0.3333,0.8,0.3333,0.8,1.0,0.6667,0.3333,0.25,0.0,0.3,0.2941,0.3125,0.2222,0.3333,0.25,0.25,0.2778,0.4444,0.25,0.25,0.25,0.2857,0.25
HDBSCAN,0.3333,0.8,0.3333,0.8,0.6667,1.0,0.3333,0.25,0.0,0.3,0.2941,0.3125,0.2222,0.1429,0.25,0.25,0.2778,0.3,0.25,0.25,0.25,0.2,0.25
LOF,1.0,0.2222,0.2941,0.2222,0.3333,0.3333,1.0,0.35,0.1429,0.875,0.4118,0.4375,0.8571,0.25,0.35,0.35,0.3158,0.25,0.35,0.35,0.35,0.1765,0.35
OPTICS,0.35,0.2,0.75,0.2,0.25,0.25,0.35,1.0,0.05,0.4,0.85,0.8,0.3,0.15,1.0,1.0,0.9,0.4,1.0,1.0,1.0,0.65,1.0
IForest,0.1429,0.0,0.0,0.0,0.0,0.0,0.1429,0.05,1.0,0.125,0.0588,0.0625,0.1667,0.3333,0.05,0.05,0.0556,0.125,0.05,0.05,0.05,0.0769,0.05
OCSVM,0.875,0.2,0.3529,0.2,0.3,0.3,0.875,0.4,0.125,1.0,0.4706,0.4118,0.75,0.2222,0.4,0.4,0.3684,0.2308,0.4,0.4,0.4,0.2353,0.4
Autoencoder,0.4118,0.2353,0.7778,0.2353,0.2941,0.2941,0.4118,0.85,0.0588,0.4706,1.0,0.8333,0.3529,0.1765,0.85,0.85,0.75,0.3889,0.85,0.85,0.85,0.5789,0.85
RobustPCA,0.4375,0.25,0.6316,0.25,0.3125,0.3125,0.4375,0.8,0.0625,0.4118,0.8333,1.0,0.375,0.1875,0.8,0.8,0.7,0.5,0.8,0.8,0.8,0.45,0.8
Conformal,0.8571,0.1111,0.2353,0.1111,0.2222,0.2222,0.8571,0.3,0.1667,0.75,0.3529,0.375,1.0,0.2857,0.3,0.3,0.2632,0.2727,0.3,0.3,0.3,0.1875,0.3
SigKernel_d2,0.25,0.1667,0.125,0.1667,0.3333,0.1429,0.25,0.15,0.3333,0.2222,0.1765,0.1875,0.2857,1.0,0.15,0.15,0.1667,0.375,0.15,0.15,0.15,0.2308,0.15
SigMaHaKNN_d2_k3,0.35,0.2,0.75,0.2,0.25,0.25,0.35,1.0,0.05,0.4,0.85,0.8,0.3,0.15,1.0,1.0,0.9,0.4,1.0,1.0,1.0,0.65,1.0
SigMaHaKNN_d2_k10,0.35,0.2,0.75,0.2,0.25,0.25,0.35,1.0,0.05,0.4,0.85,0.8,0.3,0.15,1.0,1.0,0.9,0.4,1.0,1.0,1.0,0.65,1.0
SigMaHaKNN_d2_k20,0.3158,0.2222,0.8333,0.2222,0.2778,0.2778,0.3158,0.9,0.0556,0.3684,0.75,0.7,0.2632,0.1667,0.9,0.9,1.0,0.4444,0.9,0.9,0.9,0.7222,0.9
SigKernel_d3,0.25,0.3333,0.3529,0.3333,0.4444,0.3,0.25,0.4,0.125,0.2308,0.3889,0.5,0.2727,0.375,0.4,0.4,0.4444,1.0,0.4,0.4,0.4,0.5,0.4
SigMaHaKNN_d3_k3,0.35,0.2,0.75,0.2,0.25,0.25,0.35,1.0,0.05,0.4,0.85,0.8,0.3,0.15,1.0,1.0,0.9,0.4,1.0,1.0,1.0,0.65,1.0
SigMaHaKNN_d3_k10,0.35,0.2,0.75,0.2,0.25,0.25,0.35,1.0,0.05,0.4,0.85,0.8,0.3,0.15,1.0,1.0,0.9,0.4,1.0,1.0,1.0,0.65,1.0
SigMaHaKNN_d3_k20,0.35,0.2,0.75,0.2,0.25,0.25,0.35,1.0,0.05,0.4,0.85,0.8,0.3,0.15,1.0,1.0,0.9,0.4,1.0,1.0,1.0,0.65,1.0
SigConformancia_d2,0.1765,0.2143,0.6471,0.2143,0.2857,0.2,0.1765,0.65,0.0769,0.2353,0.5789,0.45,0.1875,0.2308,0.65,0.65,0.7222,0.5,0.65,0.65,0.65,1.0,0.65
LogSigMaHa_d2,0.35,0.2,0.75,0.2,0.25,0.25,0.35,1.0,0.05,0.4,0.85,0.8,0.3,0.15,1.0,1.0,0.9,0.4,1.0,1.0,1.0,0.65,1.0
