,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.25,0.7,0.25,0.25,0.2,0.95,1.0,0.4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0
PCAT2Q,0.25,1.0,0.3571,1.0,1.0,0.8,0.2632,0.25,0.625,0.25,0.2778,0.2778,0.2778,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.1429,0.25
KDE,0.7,0.3571,1.0,0.3571,0.3571,0.2857,0.65,0.7,0.5714,0.7,0.6842,0.6842,0.6842,0.0,0.7,0.7,0.7,0.0,0.7,0.7,0.7,0.1333,0.7
GMM,0.25,1.0,0.3571,1.0,1.0,0.8,0.2632,0.25,0.625,0.25,0.2778,0.2778,0.2778,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.1429,0.25
KMeans,0.25,1.0,0.3571,1.0,1.0,0.8,0.2632,0.25,0.625,0.25,0.2778,0.2778,0.2778,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.1429,0.25
HDBSCAN,0.2,0.8,0.2857,0.8,0.8,1.0,0.2105,0.2,0.5,0.2,0.2222,0.2222,0.2222,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2
LOF,0.95,0.2632,0.65,0.2632,0.2632,0.2105,1.0,0.95,0.4211,0.95,0.9474,0.9474,0.9474,0.0,0.95,0.95,0.95,0.0,0.95,0.95,0.95,0.1579,0.95
OPTICS,1.0,0.25,0.7,0.25,0.25,0.2,0.95,1.0,0.4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0
IForest,0.4,0.625,0.5714,0.625,0.625,0.5,0.4211,0.4,1.0,0.4,0.4444,0.4444,0.4444,0.0,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.2222,0.4
OCSVM,1.0,0.25,0.7,0.25,0.25,0.2,0.95,1.0,0.4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0
Autoencoder,0.9,0.2778,0.6842,0.2778,0.2778,0.2222,0.9474,0.9,0.4444,0.9,1.0,1.0,0.8947,0.0,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.1667,0.9
RobustPCA,0.9,0.2778,0.6842,0.2778,0.2778,0.2222,0.9474,0.9,0.4444,0.9,1.0,1.0,0.8947,0.0,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.1667,0.9
Conformal,0.9,0.2778,0.6842,0.2778,0.2778,0.2222,0.9474,0.9,0.4444,0.9,0.8947,0.8947,1.0,0.0,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.1667,0.9
SigKernel_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SigMaHaKNN_d2_k3,1.0,0.25,0.7,0.25,0.25,0.2,0.95,1.0,0.4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0
SigMaHaKNN_d2_k10,1.0,0.25,0.7,0.25,0.25,0.2,0.95,1.0,0.4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0
SigMaHaKNN_d2_k20,1.0,0.25,0.7,0.25,0.25,0.2,0.95,1.0,0.4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0
SigKernel_d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SigMaHaKNN_d3_k3,1.0,0.25,0.7,0.25,0.25,0.2,0.95,1.0,0.4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0
SigMaHaKNN_d3_k10,1.0,0.25,0.7,0.25,0.25,0.2,0.95,1.0,0.4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0
SigMaHaKNN_d3_k20,1.0,0.25,0.7,0.25,0.25,0.2,0.95,1.0,0.4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0
SigConformancia_d2,0.15,0.1429,0.1333,0.1429,0.1429,0.0,0.1579,0.15,0.2222,0.15,0.1667,0.1667,0.1667,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,1.0,0.15
LogSigMaHa_d2,1.0,0.25,0.7,0.25,0.25,0.2,0.95,1.0,0.4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0
