,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.3895,0.4545,0.3918,0.4105,0.4227,0.6471,0.5571,0.402,0.6667,0.5735,0.5865,0.6525,0.0588,0.5571,0.55,0.3534,0.1681,0.5571,0.5571,0.5571,0.2358,0.4779
PCAT2Q,0.3895,1.0,0.6585,0.9138,0.8644,0.8689,0.4215,0.3857,0.4,0.4132,0.3971,0.406,0.4016,0.082,0.3857,0.3786,0.2787,0.25,0.3857,0.3857,0.3857,0.2549,0.3308
KDE,0.4545,0.6585,1.0,0.6951,0.6829,0.7317,0.5038,0.5857,0.3611,0.4851,0.5797,0.558,0.4851,0.0805,0.5857,0.5786,0.472,0.3241,0.5857,0.5857,0.5857,0.4312,0.5299
GMM,0.3918,0.9138,0.6951,1.0,0.8226,0.8,0.4228,0.4071,0.3708,0.4146,0.4088,0.4179,0.4146,0.0952,0.4071,0.4,0.3033,0.2553,0.4071,0.4071,0.4071,0.2843,0.3534
KMeans,0.4105,0.8644,0.6829,0.8226,1.0,0.7846,0.438,0.4,0.3908,0.418,0.4118,0.4211,0.4065,0.0968,0.4,0.3929,0.2846,0.2447,0.4,0.4,0.4,0.2745,0.3358
HDBSCAN,0.4227,0.8689,0.7317,0.8,0.7846,1.0,0.459,0.4286,0.4045,0.439,0.4412,0.4511,0.4274,0.0746,0.4286,0.4214,0.3171,0.2737,0.4286,0.4286,0.4286,0.2762,0.3759
LOF,0.6471,0.4215,0.5038,0.4228,0.438,0.459,1.0,0.8429,0.5378,0.9262,0.8676,0.8872,0.9583,0.0833,0.8429,0.8357,0.5942,0.4094,0.8429,0.8429,0.8429,0.4118,0.7214
OPTICS,0.5571,0.3857,0.5857,0.4071,0.4,0.4286,0.8429,1.0,0.4643,0.8357,0.9714,0.95,0.8357,0.0857,1.0,0.9929,0.7286,0.4357,1.0,1.0,1.0,0.5286,0.8786
IForest,0.402,0.4,0.3611,0.3708,0.3908,0.4045,0.5378,0.4643,1.0,0.5556,0.4779,0.4776,0.5424,0.0548,0.4643,0.4571,0.3254,0.2727,0.4643,0.4643,0.4643,0.2752,0.4242
OCSVM,0.6667,0.4132,0.4851,0.4146,0.418,0.439,0.9262,0.8357,0.5556,1.0,0.8603,0.8519,0.9339,0.0661,0.8357,0.8286,0.587,0.3692,0.8357,0.8357,0.8357,0.4148,0.7266
Autoencoder,0.5735,0.3971,0.5797,0.4088,0.4118,0.4412,0.8676,0.9714,0.4779,0.8603,1.0,0.9635,0.8603,0.0882,0.9714,0.9643,0.7,0.438,0.9714,0.9714,0.9714,0.5108,0.85
RobustPCA,0.5865,0.406,0.558,0.4179,0.4211,0.4511,0.8872,0.95,0.4776,0.8519,0.9635,1.0,0.8797,0.0902,0.95,0.9429,0.6906,0.4478,0.95,0.95,0.95,0.4892,0.8286
Conformal,0.6525,0.4016,0.4851,0.4146,0.4065,0.4274,0.9583,0.8357,0.5424,0.9339,0.8603,0.8797,1.0,0.084,0.8357,0.8286,0.5985,0.4127,0.8357,0.8357,0.8357,0.4361,0.7266
SigKernel_d2,0.0588,0.082,0.0805,0.0952,0.0968,0.0746,0.0833,0.0857,0.0548,0.0661,0.0882,0.0902,0.084,1.0,0.0857,0.0863,0.1068,0.1967,0.0857,0.0857,0.0857,0.1467,0.0887
SigMaHaKNN_d2_k3,0.5571,0.3857,0.5857,0.4071,0.4,0.4286,0.8429,1.0,0.4643,0.8357,0.9714,0.95,0.8357,0.0857,1.0,0.9929,0.7286,0.4357,1.0,1.0,1.0,0.5286,0.8786
SigMaHaKNN_d2_k10,0.55,0.3786,0.5786,0.4,0.3929,0.4214,0.8357,0.9929,0.4571,0.8286,0.9643,0.9429,0.8286,0.0863,0.9929,1.0,0.7338,0.4388,0.9929,0.9929,0.9929,0.5324,0.8849
SigMaHaKNN_d2_k20,0.3534,0.2787,0.472,0.3033,0.2846,0.3171,0.5942,0.7286,0.3254,0.587,0.7,0.6906,0.5985,0.1068,0.7286,0.7338,1.0,0.5825,0.7286,0.7286,0.7286,0.7087,0.8
SigKernel_d3,0.1681,0.25,0.3241,0.2553,0.2447,0.2737,0.4094,0.4357,0.2727,0.3692,0.438,0.4478,0.4127,0.1967,0.4357,0.4388,0.5825,1.0,0.4357,0.4357,0.4357,0.6463,0.4839
SigMaHaKNN_d3_k3,0.5571,0.3857,0.5857,0.4071,0.4,0.4286,0.8429,1.0,0.4643,0.8357,0.9714,0.95,0.8357,0.0857,1.0,0.9929,0.7286,0.4357,1.0,1.0,1.0,0.5286,0.8786
SigMaHaKNN_d3_k10,0.5571,0.3857,0.5857,0.4071,0.4,0.4286,0.8429,1.0,0.4643,0.8357,0.9714,0.95,0.8357,0.0857,1.0,0.9929,0.7286,0.4357,1.0,1.0,1.0,0.5286,0.8786
SigMaHaKNN_d3_k20,0.5571,0.3857,0.5857,0.4071,0.4,0.4286,0.8429,1.0,0.4643,0.8357,0.9714,0.95,0.8357,0.0857,1.0,0.9929,0.7286,0.4357,1.0,1.0,1.0,0.5286,0.8786
SigConformancia_d2,0.2358,0.2549,0.4312,0.2843,0.2745,0.2762,0.4118,0.5286,0.2752,0.4148,0.5108,0.4892,0.4361,0.1467,0.5286,0.5324,0.7087,0.6463,0.5286,0.5286,0.5286,1.0,0.576
LogSigMaHa_d2,0.4779,0.3308,0.5299,0.3534,0.3358,0.3759,0.7214,0.8786,0.4242,0.7266,0.85,0.8286,0.7266,0.0887,0.8786,0.8849,0.8,0.4839,0.8786,0.8786,0.8786,0.576,1.0
