,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.3235,0.6103,0.375,0.3456,0.2721,0.8571,0.9714,0.5214,0.9571,0.7857,0.8571,0.8286,0.1643,0.9714,0.9714,0.9714,0.1786,0.9714,0.9714,0.9714,0.25,0.9714
PCAT2Q,0.3235,1.0,0.5301,0.8269,0.7843,0.7609,0.3548,0.3143,0.407,0.3188,0.3739,0.3548,0.3667,0.0597,0.3143,0.3143,0.3143,0.058,0.3143,0.3143,0.3143,0.0921,0.3143
KDE,0.6103,0.5301,1.0,0.5952,0.5476,0.4458,0.656,0.5929,0.4545,0.6014,0.6417,0.656,0.6777,0.0577,0.5929,0.5929,0.5929,0.0667,0.5929,0.5929,0.5929,0.1296,0.5929
GMM,0.375,0.8269,0.5952,1.0,0.8148,0.7255,0.4113,0.3643,0.4222,0.3696,0.4348,0.4113,0.425,0.0685,0.3643,0.3643,0.3643,0.0667,0.3643,0.3643,0.3643,0.0976,0.3643
KMeans,0.3456,0.7843,0.5476,0.8148,1.0,0.7872,0.379,0.3357,0.4091,0.3406,0.4,0.379,0.3917,0.0571,0.3357,0.3357,0.3357,0.0556,0.3357,0.3357,0.3357,0.0886,0.3357
HDBSCAN,0.2721,0.7609,0.4458,0.7255,0.7872,1.0,0.2984,0.2643,0.3735,0.2681,0.3246,0.2984,0.3083,0.0492,0.2643,0.2643,0.2643,0.0476,0.2643,0.2643,0.2643,0.0704,0.2643
LOF,0.8571,0.3548,0.656,0.4113,0.379,0.2984,1.0,0.8857,0.621,0.8986,0.9194,0.9683,0.9677,0.2177,0.8857,0.8857,0.8857,0.2339,0.8857,0.8857,0.8857,0.2937,0.8857
OPTICS,0.9714,0.3143,0.5929,0.3643,0.3357,0.2643,0.8857,1.0,0.55,0.9857,0.8143,0.8857,0.8571,0.1929,1.0,1.0,1.0,0.2071,1.0,1.0,1.0,0.2786,1.0
IForest,0.5214,0.407,0.4545,0.4222,0.4091,0.3735,0.621,0.55,1.0,0.558,0.6754,0.621,0.6417,0.284,0.55,0.55,0.55,0.2927,0.55,0.55,0.55,0.3333,0.55
OCSVM,0.9571,0.3188,0.6014,0.3696,0.3406,0.2681,0.8986,0.9857,0.558,1.0,0.8261,0.8986,0.8696,0.1957,0.9857,0.9857,0.9857,0.2101,0.9857,0.9857,0.9857,0.2826,0.9857
