,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigKernel_d2,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d3,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigConformancia_d2,LogSigMaHa_d2
RobustZMAD,1.0,0.5604,0.4309,0.4818,0.5258,0.6579,0.438,0.3857,0.4862,0.4122,0.4015,0.4952,0.4907,0.2639,0.3857,0.3857,0.3857,0.2941,0.3857,0.3857,0.3857,0.3365,0.3857
PCAT2Q,0.5604,1.0,0.7213,0.8073,0.8958,0.8182,0.7333,0.6286,0.75,0.6718,0.6718,0.7364,0.8224,0.3298,0.6286,0.6286,0.6286,0.44,0.6286,0.6286,0.6286,0.531,0.6286
KDE,0.4309,0.7213,1.0,0.8934,0.7705,0.5902,0.8906,0.8714,0.811,0.9023,0.9023,0.8,0.877,0.252,0.8714,0.8714,0.8714,0.3906,0.8714,0.8714,0.8714,0.5682,0.8714
GMM,0.4818,0.8073,0.8934,1.0,0.8624,0.6606,0.877,0.7786,0.7934,0.8321,0.8321,0.7966,0.8947,0.2696,0.7786,0.7786,0.7786,0.3983,0.7786,0.7786,0.7786,0.5645,0.7786
KMeans,0.5258,0.8958,0.7705,0.8624,1.0,0.7474,0.7833,0.6714,0.7265,0.7176,0.7176,0.7434,0.7946,0.31,0.6714,0.6714,0.6714,0.4151,0.6714,0.6714,0.6714,0.5299,0.6714
HDBSCAN,0.6579,0.8182,0.5902,0.6606,0.7474,1.0,0.6,0.5143,0.6514,0.5496,0.5496,0.6355,0.6729,0.3625,0.5143,0.5143,0.5143,0.4222,0.5143,0.5143,0.5143,0.4537,0.5143
LOF,0.438,0.7333,0.8906,0.877,0.7833,0.6,1.0,0.8571,0.7538,0.8872,0.916,0.843,0.8607,0.2661,0.8571,0.8571,0.8571,0.4309,0.8571,0.8571,0.8571,0.5769,0.8571
OPTICS,0.3857,0.6286,0.8714,0.7786,0.6714,0.5143,0.8571,1.0,0.7714,0.9357,0.9357,0.7357,0.7643,0.2643,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.6071,1.0
IForest,0.4862,0.75,0.811,0.7934,0.7265,0.6514,0.7538,0.7714,1.0,0.797,0.7574,0.7881,0.8534,0.2946,0.7714,0.7714,0.7714,0.4386,0.7714,0.7714,0.7714,0.6356,0.7714
OCSVM,0.4122,0.6718,0.9023,0.8321,0.7176,0.5496,0.8872,0.9357,0.797,1.0,0.9552,0.7727,0.8168,0.2632,0.9357,0.9357,0.9357,0.406,0.9357,0.9357,0.9357,0.6,0.9357
Autoencoder,0.4015,0.6718,0.9023,0.8321,0.7176,0.5496,0.916,0.9357,0.7574,0.9552,1.0,0.7863,0.8168,0.2632,0.9357,0.9357,0.9357,0.406,0.9357,0.9357,0.9357,0.5766,0.9357
RobustPCA,0.4952,0.7364,0.8,0.7966,0.7434,0.6355,0.843,0.7357,0.7881,0.7727,0.7863,1.0,0.8421,0.25,0.7357,0.7357,0.7357,0.3947,0.7357,0.7357,0.7357,0.541,0.7357
Conformal,0.4907,0.8224,0.877,0.8947,0.7946,0.6729,0.8607,0.7643,0.8534,0.8168,0.8168,0.8421,1.0,0.2743,0.7643,0.7643,0.7643,0.4174,0.7643,0.7643,0.7643,0.5738,0.7643
SigKernel_d2,0.2639,0.3298,0.252,0.2696,0.31,0.3625,0.2661,0.2643,0.2946,0.2632,0.2632,0.25,0.2743,1.0,0.2643,0.2643,0.2643,0.5763,0.2643,0.2643,0.2643,0.3556,0.2643
SigMaHaKNN_d2_k3,0.3857,0.6286,0.8714,0.7786,0.6714,0.5143,0.8571,1.0,0.7714,0.9357,0.9357,0.7357,0.7643,0.2643,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.6071,1.0
SigMaHaKNN_d2_k10,0.3857,0.6286,0.8714,0.7786,0.6714,0.5143,0.8571,1.0,0.7714,0.9357,0.9357,0.7357,0.7643,0.2643,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.6071,1.0
SigMaHaKNN_d2_k20,0.3857,0.6286,0.8714,0.7786,0.6714,0.5143,0.8571,1.0,0.7714,0.9357,0.9357,0.7357,0.7643,0.2643,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.6071,1.0
SigKernel_d3,0.2941,0.44,0.3906,0.3983,0.4151,0.4222,0.4309,0.4,0.4386,0.406,0.406,0.3947,0.4174,0.5763,0.4,0.4,0.4,1.0,0.4,0.4,0.4,0.4842,0.4
SigMaHaKNN_d3_k3,0.3857,0.6286,0.8714,0.7786,0.6714,0.5143,0.8571,1.0,0.7714,0.9357,0.9357,0.7357,0.7643,0.2643,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.6071,1.0
SigMaHaKNN_d3_k10,0.3857,0.6286,0.8714,0.7786,0.6714,0.5143,0.8571,1.0,0.7714,0.9357,0.9357,0.7357,0.7643,0.2643,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.6071,1.0
SigMaHaKNN_d3_k20,0.3857,0.6286,0.8714,0.7786,0.6714,0.5143,0.8571,1.0,0.7714,0.9357,0.9357,0.7357,0.7643,0.2643,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.6071,1.0
SigConformancia_d2,0.3365,0.531,0.5682,0.5645,0.5299,0.4537,0.5769,0.6071,0.6356,0.6,0.5766,0.541,0.5738,0.3556,0.6071,0.6071,0.6071,0.4842,0.6071,0.6071,0.6071,1.0,0.6071
LogSigMaHa_d2,0.3857,0.6286,0.8714,0.7786,0.6714,0.5143,0.8571,1.0,0.7714,0.9357,0.9357,0.7357,0.7643,0.2643,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.6071,1.0
