Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
RobustZMAD,A-Estadistico,0.5571,0.1,0.0491,SaltoCalibracion,0.55,20,300,ambiental
RobustZMAD,A-Estadistico,0.5571,0.1,0.0491,DerivaSensor,0.65,20,300,ambiental
RobustZMAD,A-Estadistico,0.5571,0.1,0.0491,SensorCongelado,0.35,20,300,ambiental
RobustZMAD,A-Estadistico,0.5571,0.1,0.0491,PicoTransitorio,1.0,20,300,ambiental
RobustZMAD,A-Estadistico,0.5571,0.1,0.0491,RuidoElectronico,0.65,20,300,ambiental
RobustZMAD,A-Estadistico,0.5571,0.1,0.0491,DesacopleCanales,0.0,20,300,ambiental
RobustZMAD,A-Estadistico,0.5571,0.1,0.0491,RafagaMuestreo,0.7,20,300,ambiental
PCAT2Q,A-Estadistico,0.3857,0.1,0.1599,SaltoCalibracion,0.35,20,300,ambiental
PCAT2Q,A-Estadistico,0.3857,0.1,0.1599,DerivaSensor,0.65,20,300,ambiental
PCAT2Q,A-Estadistico,0.3857,0.1,0.1599,SensorCongelado,0.2,20,300,ambiental
PCAT2Q,A-Estadistico,0.3857,0.1,0.1599,PicoTransitorio,0.25,20,300,ambiental
PCAT2Q,A-Estadistico,0.3857,0.1,0.1599,RuidoElectronico,0.25,20,300,ambiental
PCAT2Q,A-Estadistico,0.3857,0.1,0.1599,DesacopleCanales,0.0,20,300,ambiental
PCAT2Q,A-Estadistico,0.3857,0.1,0.1599,RafagaMuestreo,1.0,20,300,ambiental
KDE,A-Estadistico,0.5857,0.1,0.0516,SaltoCalibracion,0.7,20,300,ambiental
KDE,A-Estadistico,0.5857,0.1,0.0516,DerivaSensor,0.8,20,300,ambiental
KDE,A-Estadistico,0.5857,0.1,0.0516,SensorCongelado,0.75,20,300,ambiental
KDE,A-Estadistico,0.5857,0.1,0.0516,PicoTransitorio,0.4,20,300,ambiental
KDE,A-Estadistico,0.5857,0.1,0.0516,RuidoElectronico,0.45,20,300,ambiental
KDE,A-Estadistico,0.5857,0.1,0.0516,DesacopleCanales,0.0,20,300,ambiental
KDE,A-Estadistico,0.5857,0.1,0.0516,RafagaMuestreo,1.0,20,300,ambiental
GMM,A-Estadistico,0.4071,0.1,0.1474,SaltoCalibracion,0.45,20,300,ambiental
GMM,A-Estadistico,0.4071,0.1,0.1474,DerivaSensor,0.7,20,300,ambiental
GMM,A-Estadistico,0.4071,0.1,0.1474,SensorCongelado,0.2,20,300,ambiental
GMM,A-Estadistico,0.4071,0.1,0.1474,PicoTransitorio,0.3,20,300,ambiental
GMM,A-Estadistico,0.4071,0.1,0.1474,RuidoElectronico,0.2,20,300,ambiental
