Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
RobustZMAD,A-Estadistico,0.9714,0.1,0.0538,CrisisEpileptica,1.0,20,260,eeg
RobustZMAD,A-Estadistico,0.9714,0.1,0.0538,PopElectrodo,1.0,20,260,eeg
RobustZMAD,A-Estadistico,0.9714,0.1,0.0538,ArtefactoMuscular,1.0,20,260,eeg
RobustZMAD,A-Estadistico,0.9714,0.1,0.0538,SupresionBrote,1.0,20,260,eeg
RobustZMAD,A-Estadistico,0.9714,0.1,0.0538,CanalDesconectado,1.0,20,260,eeg
RobustZMAD,A-Estadistico,0.9714,0.1,0.0538,ParpadeoOcular,1.0,20,260,eeg
RobustZMAD,A-Estadistico,0.9714,0.1,0.0538,InterferenciaRed,0.8,20,260,eeg
PCAT2Q,A-Estadistico,0.3143,0.1,0.163,CrisisEpileptica,1.0,20,260,eeg
PCAT2Q,A-Estadistico,0.3143,0.1,0.163,PopElectrodo,0.4,20,260,eeg
PCAT2Q,A-Estadistico,0.3143,0.1,0.163,ArtefactoMuscular,0.1,20,260,eeg
PCAT2Q,A-Estadistico,0.3143,0.1,0.163,SupresionBrote,0.25,20,260,eeg
PCAT2Q,A-Estadistico,0.3143,0.1,0.163,CanalDesconectado,0.05,20,260,eeg
PCAT2Q,A-Estadistico,0.3143,0.1,0.163,ParpadeoOcular,0.4,20,260,eeg
PCAT2Q,A-Estadistico,0.3143,0.1,0.163,InterferenciaRed,0.0,20,260,eeg
KDE,A-Estadistico,0.5929,0.1,0.0422,CrisisEpileptica,1.0,20,260,eeg
KDE,A-Estadistico,0.5929,0.1,0.0422,PopElectrodo,1.0,20,260,eeg
KDE,A-Estadistico,0.5929,0.1,0.0422,ArtefactoMuscular,0.2,20,260,eeg
KDE,A-Estadistico,0.5929,0.1,0.0422,SupresionBrote,0.7,20,260,eeg
KDE,A-Estadistico,0.5929,0.1,0.0422,CanalDesconectado,0.25,20,260,eeg
KDE,A-Estadistico,0.5929,0.1,0.0422,ParpadeoOcular,1.0,20,260,eeg
KDE,A-Estadistico,0.5929,0.1,0.0422,InterferenciaRed,0.0,20,260,eeg
GMM,A-Estadistico,0.3643,0.1,0.154,CrisisEpileptica,1.0,20,260,eeg
GMM,A-Estadistico,0.3643,0.1,0.154,PopElectrodo,0.45,20,260,eeg
GMM,A-Estadistico,0.3643,0.1,0.154,ArtefactoMuscular,0.2,20,260,eeg
GMM,A-Estadistico,0.3643,0.1,0.154,SupresionBrote,0.25,20,260,eeg
GMM,A-Estadistico,0.3643,0.1,0.154,CanalDesconectado,0.05,20,260,eeg
GMM,A-Estadistico,0.3643,0.1,0.154,ParpadeoOcular,0.55,20,260,eeg
GMM,A-Estadistico,0.3643,0.1,0.154,InterferenciaRed,0.05,20,260,eeg
KMeans,B-Clustering,0.3357,0.1,0.3025,CrisisEpileptica,1.0,20,260,eeg
KMeans,B-Clustering,0.3357,0.1,0.3025,PopElectrodo,0.35,20,260,eeg
KMeans,B-Clustering,0.3357,0.1,0.3025,ArtefactoMuscular,0.25,20,260,eeg
KMeans,B-Clustering,0.3357,0.1,0.3025,SupresionBrote,0.25,20,260,eeg
KMeans,B-Clustering,0.3357,0.1,0.3025,CanalDesconectado,0.05,20,260,eeg
KMeans,B-Clustering,0.3357,0.1,0.3025,ParpadeoOcular,0.45,20,260,eeg
KMeans,B-Clustering,0.3357,0.1,0.3025,InterferenciaRed,0.0,20,260,eeg
HDBSCAN,B-Clustering,0.2643,0.1,0.34,CrisisEpileptica,1.0,20,260,eeg
HDBSCAN,B-Clustering,0.2643,0.1,0.34,PopElectrodo,0.25,20,260,eeg
HDBSCAN,B-Clustering,0.2643,0.1,0.34,ArtefactoMuscular,0.2,20,260,eeg
