Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
RobustZMAD,A-Estadistico,0.3857,0.1,0.1329,DDoS,0.95,20,320,it
RobustZMAD,A-Estadistico,0.3857,0.1,0.1329,FugaMemoria,0.35,20,320,it
RobustZMAD,A-Estadistico,0.3857,0.1,0.1329,CaidaServicio,0.1,20,320,it
RobustZMAD,A-Estadistico,0.3857,0.1,0.1329,CriptoMineria,0.05,20,320,it
RobustZMAD,A-Estadistico,0.3857,0.1,0.1329,EscaneoPuertos,0.2,20,320,it
RobustZMAD,A-Estadistico,0.3857,0.1,0.1329,Exfiltracion,0.05,20,320,it
RobustZMAD,A-Estadistico,0.3857,0.1,0.1329,DegradacionDisco,1.0,20,320,it
PCAT2Q,A-Estadistico,0.6286,0.1,0.0076,DDoS,1.0,20,320,it
PCAT2Q,A-Estadistico,0.6286,0.1,0.0076,FugaMemoria,1.0,20,320,it
PCAT2Q,A-Estadistico,0.6286,0.1,0.0076,CaidaServicio,0.4,20,320,it
PCAT2Q,A-Estadistico,0.6286,0.1,0.0076,CriptoMineria,0.6,20,320,it
PCAT2Q,A-Estadistico,0.6286,0.1,0.0076,EscaneoPuertos,0.3,20,320,it
PCAT2Q,A-Estadistico,0.6286,0.1,0.0076,Exfiltracion,0.1,20,320,it
PCAT2Q,A-Estadistico,0.6286,0.1,0.0076,DegradacionDisco,1.0,20,320,it
KDE,A-Estadistico,0.8714,0.1,0.0016,DDoS,1.0,20,320,it
KDE,A-Estadistico,0.8714,0.1,0.0016,FugaMemoria,1.0,20,320,it
KDE,A-Estadistico,0.8714,0.1,0.0016,CaidaServicio,1.0,20,320,it
KDE,A-Estadistico,0.8714,0.1,0.0016,CriptoMineria,1.0,20,320,it
KDE,A-Estadistico,0.8714,0.1,0.0016,EscaneoPuertos,0.75,20,320,it
KDE,A-Estadistico,0.8714,0.1,0.0016,Exfiltracion,0.35,20,320,it
KDE,A-Estadistico,0.8714,0.1,0.0016,DegradacionDisco,1.0,20,320,it
GMM,A-Estadistico,0.7786,0.1,0.0076,DDoS,1.0,20,320,it
GMM,A-Estadistico,0.7786,0.1,0.0076,FugaMemoria,1.0,20,320,it
GMM,A-Estadistico,0.7786,0.1,0.0076,CaidaServicio,0.95,20,320,it
GMM,A-Estadistico,0.7786,0.1,0.0076,CriptoMineria,0.95,20,320,it
GMM,A-Estadistico,0.7786,0.1,0.0076,EscaneoPuertos,0.45,20,320,it
GMM,A-Estadistico,0.7786,0.1,0.0076,Exfiltracion,0.1,20,320,it
GMM,A-Estadistico,0.7786,0.1,0.0076,DegradacionDisco,1.0,20,320,it
KMeans,B-Clustering,0.6714,0.1,0.0574,DDoS,1.0,20,320,it
KMeans,B-Clustering,0.6714,0.1,0.0574,FugaMemoria,1.0,20,320,it
KMeans,B-Clustering,0.6714,0.1,0.0574,CaidaServicio,0.75,20,320,it
KMeans,B-Clustering,0.6714,0.1,0.0574,CriptoMineria,0.65,20,320,it
KMeans,B-Clustering,0.6714,0.1,0.0574,EscaneoPuertos,0.25,20,320,it
KMeans,B-Clustering,0.6714,0.1,0.0574,Exfiltracion,0.05,20,320,it
KMeans,B-Clustering,0.6714,0.1,0.0574,DegradacionDisco,1.0,20,320,it
HDBSCAN,B-Clustering,0.5143,0.1,0.0801,DDoS,1.0,20,320,it
