,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d2,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigKernel_d3,SigMaHaKNN_d4_k3,SigMaHaKNN_d4_k10,SigMaHaKNN_d4_k20,SigKernel_d4
RobustZMAD,1.0,0.625,0.5,0.6,0.4545454545454545,0.0,0.5555555555555556,0.5555555555555556,0.5714285714285714,0.75,1.0,1.0,0.8571428571428571,0.1428571428571428,0.1428571428571428,0.125,0.0,0.1428571428571428,0.1428571428571428,0.125,0.0,0.125,0.125,0.125,0.1666666666666666
PCAT2Q,0.625,1.0,0.7777777777777778,0.7,0.7,0.0,0.5,0.875,0.7142857142857143,0.875,0.625,0.625,0.75,0.2857142857142857,0.2857142857142857,0.25,0.0,0.125,0.125,0.25,0.125,0.25,0.25,0.25,0.1428571428571428
KDE,0.5,0.7777777777777778,1.0,0.9,0.9,0.0,0.4166666666666667,0.8888888888888888,0.5555555555555556,0.7,0.5,0.5,0.6,0.2222222222222222,0.2222222222222222,0.2,0.0,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1111111111111111
GMM,0.6,0.7,0.9,1.0,0.8181818181818182,0.0,0.5,0.8,0.5,0.8,0.6,0.6,0.7,0.2,0.2,0.1818181818181818,0.0,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1
KMeans,0.4545454545454545,0.7,0.9,0.8181818181818182,1.0,0.0,0.5,0.8,0.5,0.6363636363636364,0.4545454545454545,0.4545454545454545,0.5454545454545454,0.2,0.2,0.1818181818181818,0.0,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1
HDBSCAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOF,0.5555555555555556,0.5,0.4166666666666667,0.5,0.5,0.0,1.0,0.4545454545454545,0.3,0.6,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.25,0.25,0.375,0.0,0.25,0.25,0.375,0.25,0.375,0.375,0.375,0.125
OPTICS,0.5555555555555556,0.875,0.8888888888888888,0.8,0.8,0.0,0.4545454545454545,1.0,0.625,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.25,0.25,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.125
IForest,0.5714285714285714,0.7142857142857143,0.5555555555555556,0.5,0.5,0.0,0.3,0.625,1.0,0.625,0.5714285714285714,0.5714285714285714,0.5,0.1666666666666666,0.1666666666666666,0.1428571428571428,0.0,0.1666666666666666,0.1666666666666666,0.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.2
OCSVM,0.75,0.875,0.7,0.8,0.6363636363636364,0.0,0.6,0.7777777777777778,0.625,1.0,0.75,0.75,0.875,0.25,0.25,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.125
