,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d2,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigKernel_d3,SigMaHaKNN_d4_k3,SigMaHaKNN_d4_k10,SigMaHaKNN_d4_k20,SigKernel_d4
RobustZMAD,1.0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.5555555555555556,0.7142857142857143,0.4285714285714285,0.875,1.0,1.0,0.8571428571428571,0.25,0.25,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.375,0.375,0.375,0.1111111111111111
PCAT2Q,0.5714285714285714,1.0,0.8,0.8,0.8,0.0,0.2222222222222222,0.8,0.75,0.5,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.2,0.2,0.2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666666
KDE,0.7142857142857143,0.8,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.6,0.625,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571428
GMM,0.7142857142857143,0.8,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.6,0.625,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571428
KMeans,0.7142857142857143,0.8,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.6,0.625,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571428
HDBSCAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOF,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.25,0.25,0.0,0.0,0.125,0.125,0.125,0.1428571428571428,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111
OPTICS,0.7142857142857143,0.8,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.6,0.625,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571428
IForest,0.4285714285714285,0.75,0.6,0.6,0.6,0.0,0.1111111111111111,0.6,1.0,0.375,0.4285714285714285,0.4285714285714285,0.5,0.2,0.2,0.0,0.0,0.25,0.25,0.25,0.0,0.4,0.4,0.4,0.2
OCSVM,0.875,0.5,0.625,0.625,0.625,0.0,0.6666666666666666,0.625,0.375,1.0,0.875,0.875,0.75,0.2222222222222222,0.2222222222222222,0.0,0.0,0.25,0.25,0.25,0.125,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1
Autoencoder,1.0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.5555555555555556,0.7142857142857143,0.4285714285714285,0.875,1.0,1.0,0.8571428571428571,0.25,0.25,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.375,0.375,0.375,0.1111111111111111
RobustPCA,1.0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.5555555555555556,0.7142857142857143,0.4285714285714285,0.875,1.0,1.0,0.8571428571428571,0.25,0.25,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.375,0.375,0.375,0.1111111111111111
Conformal,0.8571428571428571,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.4444444444444444,0.8333333333333334,0.5,0.75,0.8571428571428571,0.8571428571428571,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.125
SigMaHaKNN_d2_k3,0.25,0.1666666666666666,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.25,0.1428571428571428,0.2,0.2222222222222222,0.25,0.25,0.2857142857142857,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.4,0.4,0.0
SigMaHaKNN_d2_k10,0.25,0.1666666666666666,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.25,0.1428571428571428,0.2,0.2222222222222222,0.25,0.25,0.2857142857142857,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.4,0.4,0.0
