,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d2,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigKernel_d3,SigMaHaKNN_d4_k3,SigMaHaKNN_d4_k10,SigMaHaKNN_d4_k20,SigKernel_d4
RobustZMAD,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
PCAT2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDE,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
GMM,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
KMeans,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
HDBSCAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOF,0.6666666666666666,0.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.3333333333333333
OPTICS,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
IForest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCSVM,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
