,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d2,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigKernel_d3,SigMaHaKNN_d4_k3,SigMaHaKNN_d4_k10,SigMaHaKNN_d4_k20,SigKernel_d4
RobustZMAD,1.0,0.4166666666666667,0.3846153846153846,0.4285714285714285,0.3846153846153846,0.0,0.4615384615384615,0.3846153846153846,0.3333333333333333,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0666666666666666,0.0666666666666666,0.0769230769230769,0.0454545454545454,0.0769230769230769,0.0769230769230769,0.0666666666666666,0.0,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.1333333333333333
PCAT2Q,0.4166666666666667,1.0,0.625,0.6666666666666666,0.8571428571428571,0.0,0.0769230769230769,0.625,0.5714285714285714,0.625,0.5,0.5,0.7142857142857143,0.1,0.1,0.125,0.0588235294117647,0.2857142857142857,0.2857142857142857,0.1,0.0,0.1,0.1,0.1,0.0909090909090909
KDE,0.3846153846153846,0.625,1.0,0.6,0.5555555555555556,0.0,0.1538461538461538,1.0,0.5,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.625,0.0909090909090909,0.0909090909090909,0.1111111111111111,0.0555555555555555,0.1111111111111111,0.1111111111111111,0.0909090909090909,0.0769230769230769,0.2,0.2,0.2,0.0833333333333333
GMM,0.4285714285714285,0.6666666666666666,0.6,1.0,0.6,0.0,0.2142857142857142,0.6,0.4,0.4545454545454545,0.3636363636363636,0.3636363636363636,0.5,0.1666666666666666,0.1666666666666666,0.0909090909090909,0.1052631578947368,0.2,0.2,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1538461538461538
KMeans,0.3846153846153846,0.8571428571428571,0.5555555555555556,0.6,1.0,0.0,0.0714285714285714,0.5555555555555556,0.5,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.625,0.0909090909090909,0.0909090909090909,0.1111111111111111,0.0555555555555555,0.25,0.25,0.0909090909090909,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0833333333333333
HDBSCAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOF,0.4615384615384615,0.0769230769230769,0.1538461538461538,0.2142857142857142,0.0714285714285714,0.0,1.0,0.1538461538461538,0.0,0.1538461538461538,0.1666666666666666,0.1666666666666666,0.0769230769230769,0.0833333333333333,0.0833333333333333,0.0,0.0,0.1,0.1,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.3,0.0769230769230769
OPTICS,0.3846153846153846,0.625,1.0,0.6,0.5555555555555556,0.0,0.1538461538461538,1.0,0.5,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.625,0.0909090909090909,0.0909090909090909,0.1111111111111111,0.0555555555555555,0.1111111111111111,0.1111111111111111,0.0909090909090909,0.0769230769230769,0.2,0.2,0.2,0.0833333333333333
IForest,0.3333333333333333,0.5714285714285714,0.5,0.4,0.5,0.0,0.0,0.5,1.0,0.5,0.375,0.375,0.5714285714285714,0.25,0.25,0.3333333333333333,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
OCSVM,0.6363636363636364,0.625,0.5555555555555556,0.4545454545454545,0.5555555555555556,0.0,0.1538461538461538,0.5555555555555556,0.5,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0909090909090909,0.0909090909090909,0.1111111111111111,0.0555555555555555,0.1111111111111111,0.1111111111111111,0.0909090909090909,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1818181818181818
Autoencoder,0.5454545454545454,0.5,0.4444444444444444,0.3636363636363636,0.4444444444444444,0.0,0.1666666666666666,0.4444444444444444,0.375,0.8571428571428571,1.0,1.0,0.7142857142857143,0.1,0.1,0.125,0.0588235294117647,0.125,0.125,0.1,0.0,0.375,0.375,0.375,0.2
RobustPCA,0.5454545454545454,0.5,0.4444444444444444,0.3636363636363636,0.4444444444444444,0.0,0.1666666666666666,0.4444444444444444,0.375,0.8571428571428571,1.0,1.0,0.7142857142857143,0.1,0.1,0.125,0.0588235294117647,0.125,0.125,0.1,0.0,0.375,0.375,0.375,0.2
Conformal,0.5454545454545454,0.7142857142857143,0.625,0.5,0.625,0.0,0.0769230769230769,0.625,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7142857142857143,1.0,0.1,0.1,0.125,0.0588235294117647,0.125,0.125,0.1,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0909090909090909
SigMaHaKNN_d2_k3,0.0666666666666666,0.1,0.0909090909090909,0.1666666666666666,0.0909090909090909,0.0,0.0833333333333333,0.0909090909090909,0.25,0.0909090909090909,0.1,0.1,0.1,1.0,1.0,0.3333333333333333,0.1333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.1111111111111111,0.375
SigMaHaKNN_d2_k10,0.0666666666666666,0.1,0.0909090909090909,0.1666666666666666,0.0909090909090909,0.0,0.0833333333333333,0.0909090909090909,0.25,0.0909090909090909,0.1,0.1,0.1,1.0,1.0,0.3333333333333333,0.1333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.1111111111111111,0.375
SigMaHaKNN_d2_k20,0.0769230769230769,0.125,0.1111111111111111,0.0909090909090909,0.1111111111111111,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.125,0.125,0.125,0.3333333333333333,0.3333333333333333,1.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
SigKernel_d2,0.0454545454545454,0.0588235294117647,0.0555555555555555,0.1052631578947368,0.0555555555555555,0.0,0.0,0.0555555555555555,0.0625,0.0555555555555555,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.1333333333333333,0.1333333333333333,0.0714285714285714,1.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.2
SigMaHaKNN_d3_k3,0.0769230769230769,0.2857142857142857,0.1111111111111111,0.2,0.25,0.0,0.1,0.1111111111111111,0.0,0.1111111111111111,0.125,0.125,0.125,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0
SigMaHaKNN_d3_k10,0.0769230769230769,0.2857142857142857,0.1111111111111111,0.2,0.25,0.0,0.1,0.1111111111111111,0.0,0.1111111111111111,0.125,0.125,0.125,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0
SigMaHaKNN_d3_k20,0.0666666666666666,0.1,0.0909090909090909,0.0769230769230769,0.0909090909090909,0.0,0.1818181818181818,0.0909090909090909,0.0,0.0909090909090909,0.1,0.1,0.1,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.1111111111111111,0.1111111111111111,0.25,0.0
SigKernel_d3,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0
SigMaHaKNN_d4_k3,0.2307692307692307,0.1,0.2,0.0769230769230769,0.0909090909090909,0.0,0.1818181818181818,0.2,0.0,0.3333333333333333,0.375,0.375,0.2222222222222222,0.0,0.0,0.0,0.0625,0.1428571428571428,0.1428571428571428,0.1111111111111111,0.0909090909090909,1.0,1.0,0.6666666666666666,0.2222222222222222
SigMaHaKNN_d4_k10,0.2307692307692307,0.1,0.2,0.0769230769230769,0.0909090909090909,0.0,0.1818181818181818,0.2,0.0,0.3333333333333333,0.375,0.375,0.2222222222222222,0.0,0.0,0.0,0.0625,0.1428571428571428,0.1428571428571428,0.1111111111111111,0.0909090909090909,1.0,1.0,0.6666666666666666,0.2222222222222222
SigMaHaKNN_d4_k20,0.2307692307692307,0.1,0.2,0.0769230769230769,0.0909090909090909,0.0,0.3,0.2,0.0,0.3333333333333333,0.375,0.375,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1428571428571428,0.1428571428571428,0.25,0.0909090909090909,0.6666666666666666,0.6666666666666666,1.0,0.1
