,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d2,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigKernel_d3,SigMaHaKNN_d4_k3,SigMaHaKNN_d4_k10,SigMaHaKNN_d4_k20,SigKernel_d4
RobustZMAD,1.0,0.4545454545454545,0.4166666666666667,0.4615384615384615,0.44,0.0,0.44,0.4347826086956521,0.4,0.6086956521739131,0.875,0.875,0.65,0.1153846153846153,0.1153846153846153,0.04,0.0,0.12,0.12,0.12,0.074074074074074,0.1481481481481481,0.1481481481481481,0.1428571428571428,0.1363636363636363
PCAT2Q,0.4545454545454545,1.0,0.6190476190476191,0.7272727272727273,0.6363636363636364,0.0,0.3333333333333333,0.65,0.6470588235294118,0.6818181818181818,0.5,0.5,0.65,0.2083333333333333,0.2083333333333333,0.1818181818181818,0.0,0.1666666666666666,0.1666666666666666,0.217391304347826,0.074074074074074,0.2916666666666667,0.2916666666666667,0.28,0.0869565217391304
KDE,0.4166666666666667,0.6190476190476191,1.0,0.8181818181818182,0.8095238095238095,0.0,0.2666666666666666,0.9444444444444444,0.5,0.56,0.4545454545454545,0.4545454545454545,0.5909090909090909,0.1481481481481481,0.1481481481481481,0.12,0.0,0.1111111111111111,0.1111111111111111,0.1538461538461538,0.0689655172413793,0.2222222222222222,0.2222222222222222,0.2142857142857142,0.08
GMM,0.4615384615384615,0.7272727272727273,0.8181818181818182,1.0,0.8260869565217391,0.0,0.3548387096774194,0.7727272727272727,0.5454545454545454,0.72,0.5,0.5,0.6956521739130435,0.1666666666666666,0.1666666666666666,0.1428571428571428,0.0,0.1333333333333333,0.1333333333333333,0.1724137931034483,0.0606060606060606,0.2333333333333333,0.2333333333333333,0.2258064516129032,0.0689655172413793
KMeans,0.44,0.6363636363636364,0.8095238095238095,0.8260869565217391,1.0,0.0,0.3793103448275862,0.7619047619047619,0.4545454545454545,0.5769230769230769,0.4782608695652174,0.4782608695652174,0.6086956521739131,0.1785714285714285,0.1785714285714285,0.1538461538461538,0.0,0.1428571428571428,0.1428571428571428,0.1851851851851851,0.03125,0.2068965517241379,0.2068965517241379,0.2,0.074074074074074
HDBSCAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOF,0.44,0.3333333333333333,0.2666666666666666,0.3548387096774194,0.3793103448275862,0.0,1.0,0.2758620689655172,0.1851851851851851,0.5185185185185185,0.4782608695652174,0.4782608695652174,0.48,0.1785714285714285,0.1785714285714285,0.1538461538461538,0.0,0.1428571428571428,0.1428571428571428,0.1851851851851851,0.1,0.25,0.25,0.2,0.1153846153846153
OPTICS,0.4347826086956521,0.65,0.9444444444444444,0.7727272727272727,0.7619047619047619,0.0,0.2758620689655172,1.0,0.5263157894736842,0.5833333333333334,0.4761904761904761,0.4761904761904761,0.6190476190476191,0.1538461538461538,0.1538461538461538,0.125,0.0,0.1153846153846153,0.1153846153846153,0.16,0.0714285714285714,0.2307692307692307,0.2307692307692307,0.2222222222222222,0.0833333333333333
IForest,0.4,0.6470588235294118,0.5,0.5454545454545454,0.4545454545454545,0.0,0.1851851851851851,0.5263157894736842,1.0,0.5714285714285714,0.4444444444444444,0.4444444444444444,0.5263157894736842,0.0869565217391304,0.0869565217391304,0.0476190476190476,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0416666666666666,0.1739130434782608,0.1739130434782608,0.1666666666666666,0.1052631578947368
OCSVM,0.6086956521739131,0.6818181818181818,0.56,0.72,0.5769230769230769,0.0,0.5185185185185185,0.5833333333333334,0.5714285714285714,1.0,0.6666666666666666,0.6666666666666666,0.8095238095238095,0.1724137931034483,0.1724137931034483,0.1071428571428571,0.0,0.1379310344827586,0.1379310344827586,0.1785714285714285,0.0967741935483871,0.2413793103448276,0.2413793103448276,0.2333333333333333,0.0714285714285714
