,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d2,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigKernel_d3,SigMaHaKNN_d4_k3,SigMaHaKNN_d4_k10,SigMaHaKNN_d4_k20,SigKernel_d4
RobustZMAD,1.0,0.5555555555555556,0.8333333333333334,0.625,0.5555555555555556,0.0,0.625,0.6666666666666666,0.2857142857142857,0.625,0.625,0.625,0.8333333333333334,0.2,0.2,0.3333333333333333,0.0,0.375,0.375,0.375,0.0,0.5,0.5,0.5,0.0
PCAT2Q,0.5555555555555556,1.0,0.6666666666666666,0.8888888888888888,1.0,0.0,0.5454545454545454,0.5555555555555556,0.4444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.0,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0
KDE,0.8333333333333334,0.6666666666666666,1.0,0.75,0.6666666666666666,0.0,0.75,0.8333333333333334,0.4285714285714285,0.75,0.75,0.75,1.0,0.3,0.3,0.5,0.0,0.5,0.5,0.5,0.0,0.625,0.625,0.625,0.0
GMM,0.625,0.8888888888888888,0.75,1.0,0.8888888888888888,0.0,0.6,0.625,0.3333333333333333,1.0,1.0,1.0,0.75,0.3636363636363636,0.3636363636363636,0.375,0.0,0.4,0.4,0.4,0.0,0.5,0.5,0.5,0.0
KMeans,0.5555555555555556,1.0,0.6666666666666666,0.8888888888888888,1.0,0.0,0.5454545454545454,0.5555555555555556,0.4444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.0,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0
HDBSCAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOF,0.625,0.5454545454545454,0.75,0.6,0.5454545454545454,0.0,1.0,0.625,0.3333333333333333,0.6,0.6,0.6,0.75,0.25,0.25,0.375,0.0,0.4,0.4,0.4,0.0,0.5,0.5,0.5,0.0
OPTICS,0.6666666666666666,0.5555555555555556,0.8333333333333334,0.625,0.5555555555555556,0.0,0.625,1.0,0.5,0.625,0.625,0.625,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.6,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.5,0.5,0.5,0.0
IForest,0.2857142857142857,0.4444444444444444,0.4285714285714285,0.3333333333333333,0.4444444444444444,0.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.1,0.1,0.1666666666666666,0.0,0.25,0.25,0.25,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0
OCSVM,0.625,0.8888888888888888,0.75,1.0,0.8888888888888888,0.0,0.6,0.625,0.3333333333333333,1.0,1.0,1.0,0.75,0.3636363636363636,0.3636363636363636,0.375,0.0,0.4,0.4,0.4,0.0,0.5,0.5,0.5,0.0
Autoencoder,0.625,0.8888888888888888,0.75,1.0,0.8888888888888888,0.0,0.6,0.625,0.3333333333333333,1.0,1.0,1.0,0.75,0.3636363636363636,0.3636363636363636,0.375,0.0,0.4,0.4,0.4,0.0,0.5,0.5,0.5,0.0
RobustPCA,0.625,0.8888888888888888,0.75,1.0,0.8888888888888888,0.0,0.6,0.625,0.3333333333333333,1.0,1.0,1.0,0.75,0.3636363636363636,0.3636363636363636,0.375,0.0,0.4,0.4,0.4,0.0,0.5,0.5,0.5,0.0
