Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
RobustZMAD,A-Estadistico,0.131,0.1019,0.5591,PartialBypass,0.0,12,265,annual
RobustZMAD,A-Estadistico,0.131,0.1019,0.5591,Smoothing,0.0833333333333333,12,265,annual
RobustZMAD,A-Estadistico,0.131,0.1019,0.5591,FlipSchedule,0.3333333333333333,12,265,annual
RobustZMAD,A-Estadistico,0.131,0.1019,0.5591,SuddenDrop,0.0,12,265,annual
RobustZMAD,A-Estadistico,0.131,0.1019,0.5591,SyntheticNoise,0.0833333333333333,12,265,annual
RobustZMAD,A-Estadistico,0.131,0.1019,0.5591,FlatLine,0.0,12,265,annual
RobustZMAD,A-Estadistico,0.131,0.1019,0.5591,SpikeEvent,0.4166666666666667,12,265,annual
PCAT2Q,A-Estadistico,0.0714,0.1019,0.3935,PartialBypass,0.0,12,265,annual
PCAT2Q,A-Estadistico,0.0714,0.1019,0.3935,Smoothing,0.0833333333333333,12,265,annual
PCAT2Q,A-Estadistico,0.0714,0.1019,0.3935,FlipSchedule,0.25,12,265,annual
PCAT2Q,A-Estadistico,0.0714,0.1019,0.3935,SuddenDrop,0.0,12,265,annual
PCAT2Q,A-Estadistico,0.0714,0.1019,0.3935,SyntheticNoise,0.0833333333333333,12,265,annual
PCAT2Q,A-Estadistico,0.0714,0.1019,0.3935,FlatLine,0.0,12,265,annual
PCAT2Q,A-Estadistico,0.0714,0.1019,0.3935,SpikeEvent,0.0833333333333333,12,265,annual
KDE,A-Estadistico,0.0833,0.1019,0.3776,PartialBypass,0.0,12,265,annual
KDE,A-Estadistico,0.0833,0.1019,0.3776,Smoothing,0.0833333333333333,12,265,annual
KDE,A-Estadistico,0.0833,0.1019,0.3776,FlipSchedule,0.25,12,265,annual
KDE,A-Estadistico,0.0833,0.1019,0.3776,SuddenDrop,0.0,12,265,annual
KDE,A-Estadistico,0.0833,0.1019,0.3776,SyntheticNoise,0.0833333333333333,12,265,annual
KDE,A-Estadistico,0.0833,0.1019,0.3776,FlatLine,0.0833333333333333,12,265,annual
KDE,A-Estadistico,0.0833,0.1019,0.3776,SpikeEvent,0.0833333333333333,12,265,annual
GMM,A-Estadistico,0.1071,0.1019,0.5275,PartialBypass,0.0,12,265,annual
GMM,A-Estadistico,0.1071,0.1019,0.5275,Smoothing,0.0833333333333333,12,265,annual
GMM,A-Estadistico,0.1071,0.1019,0.5275,FlipSchedule,0.3333333333333333,12,265,annual
GMM,A-Estadistico,0.1071,0.1019,0.5275,SuddenDrop,0.0,12,265,annual
GMM,A-Estadistico,0.1071,0.1019,0.5275,SyntheticNoise,0.0833333333333333,12,265,annual
GMM,A-Estadistico,0.1071,0.1019,0.5275,FlatLine,0.0,12,265,annual
GMM,A-Estadistico,0.1071,0.1019,0.5275,SpikeEvent,0.25,12,265,annual
KMeans,B-Clustering,0.0833,0.1019,0.4776,PartialBypass,0.0,12,265,annual
KMeans,B-Clustering,0.0833,0.1019,0.4776,Smoothing,0.1666666666666666,12,265,annual
KMeans,B-Clustering,0.0833,0.1019,0.4776,FlipSchedule,0.25,12,265,annual
KMeans,B-Clustering,0.0833,0.1019,0.4776,SuddenDrop,0.0,12,265,annual
KMeans,B-Clustering,0.0833,0.1019,0.4776,SyntheticNoise,0.0833333333333333,12,265,annual
KMeans,B-Clustering,0.0833,0.1019,0.4776,FlatLine,0.0,12,265,annual
KMeans,B-Clustering,0.0833,0.1019,0.4776,SpikeEvent,0.0833333333333333,12,265,annual
HDBSCAN,B-Clustering,0.0,0.0,1.0,PartialBypass,0.0,12,265,annual
HDBSCAN,B-Clustering,0.0,0.0,1.0,Smoothing,0.0,12,265,annual
HDBSCAN,B-Clustering,0.0,0.0,1.0,FlipSchedule,0.0,12,265,annual
HDBSCAN,B-Clustering,0.0,0.0,1.0,SuddenDrop,0.0,12,265,annual
HDBSCAN,B-Clustering,0.0,0.0,1.0,SyntheticNoise,0.0,12,265,annual
