Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
RobustZMAD,A-Estadistico,0.1429,0.1003,0.3401,PartialBypass,0.0625,16,349,monthly
RobustZMAD,A-Estadistico,0.1429,0.1003,0.3401,Smoothing,0.0,16,349,monthly
RobustZMAD,A-Estadistico,0.1429,0.1003,0.3401,FlipSchedule,0.375,16,349,monthly
RobustZMAD,A-Estadistico,0.1429,0.1003,0.3401,SuddenDrop,0.0,16,349,monthly
RobustZMAD,A-Estadistico,0.1429,0.1003,0.3401,SyntheticNoise,0.125,16,349,monthly
RobustZMAD,A-Estadistico,0.1429,0.1003,0.3401,FlatLine,0.0,16,349,monthly
RobustZMAD,A-Estadistico,0.1429,0.1003,0.3401,SpikeEvent,0.4375,16,349,monthly
PCAT2Q,A-Estadistico,0.1429,0.1003,0.0892,PartialBypass,0.0,16,349,monthly
PCAT2Q,A-Estadistico,0.1429,0.1003,0.0892,Smoothing,0.0625,16,349,monthly
PCAT2Q,A-Estadistico,0.1429,0.1003,0.0892,FlipSchedule,0.4375,16,349,monthly
PCAT2Q,A-Estadistico,0.1429,0.1003,0.0892,SuddenDrop,0.0,16,349,monthly
PCAT2Q,A-Estadistico,0.1429,0.1003,0.0892,SyntheticNoise,0.125,16,349,monthly
PCAT2Q,A-Estadistico,0.1429,0.1003,0.0892,FlatLine,0.125,16,349,monthly
PCAT2Q,A-Estadistico,0.1429,0.1003,0.0892,SpikeEvent,0.25,16,349,monthly
KDE,A-Estadistico,0.1607,0.1003,0.0936,PartialBypass,0.0,16,349,monthly
KDE,A-Estadistico,0.1607,0.1003,0.0936,Smoothing,0.0,16,349,monthly
KDE,A-Estadistico,0.1607,0.1003,0.0936,FlipSchedule,0.5625,16,349,monthly
KDE,A-Estadistico,0.1607,0.1003,0.0936,SuddenDrop,0.0,16,349,monthly
KDE,A-Estadistico,0.1607,0.1003,0.0936,SyntheticNoise,0.0625,16,349,monthly
KDE,A-Estadistico,0.1607,0.1003,0.0936,FlatLine,0.1875,16,349,monthly
KDE,A-Estadistico,0.1607,0.1003,0.0936,SpikeEvent,0.3125,16,349,monthly
GMM,A-Estadistico,0.1964,0.1003,0.1039,PartialBypass,0.0,16,349,monthly
GMM,A-Estadistico,0.1964,0.1003,0.1039,Smoothing,0.0625,16,349,monthly
GMM,A-Estadistico,0.1964,0.1003,0.1039,FlipSchedule,0.625,16,349,monthly
GMM,A-Estadistico,0.1964,0.1003,0.1039,SuddenDrop,0.0,16,349,monthly
GMM,A-Estadistico,0.1964,0.1003,0.1039,SyntheticNoise,0.1875,16,349,monthly
GMM,A-Estadistico,0.1964,0.1003,0.1039,FlatLine,0.1875,16,349,monthly
GMM,A-Estadistico,0.1964,0.1003,0.1039,SpikeEvent,0.3125,16,349,monthly
KMeans,B-Clustering,0.1786,0.1003,0.2627,PartialBypass,0.0,16,349,monthly
KMeans,B-Clustering,0.1786,0.1003,0.2627,Smoothing,0.0,16,349,monthly
KMeans,B-Clustering,0.1786,0.1003,0.2627,FlipSchedule,0.625,16,349,monthly
KMeans,B-Clustering,0.1786,0.1003,0.2627,SuddenDrop,0.0,16,349,monthly
KMeans,B-Clustering,0.1786,0.1003,0.2627,SyntheticNoise,0.1875,16,349,monthly
