Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
RobustZMAD,A-Estadistico,0.1429,0.1017,0.5029,PartialBypass,0.0,5,118,single_house
RobustZMAD,A-Estadistico,0.1429,0.1017,0.5029,Smoothing,0.0,5,118,single_house
RobustZMAD,A-Estadistico,0.1429,0.1017,0.5029,FlipSchedule,0.4,5,118,single_house
RobustZMAD,A-Estadistico,0.1429,0.1017,0.5029,SuddenDrop,0.0,5,118,single_house
RobustZMAD,A-Estadistico,0.1429,0.1017,0.5029,SyntheticNoise,0.0,5,118,single_house
RobustZMAD,A-Estadistico,0.1429,0.1017,0.5029,FlatLine,0.0,5,118,single_house
RobustZMAD,A-Estadistico,0.1429,0.1017,0.5029,SpikeEvent,0.6,5,118,single_house
PCAT2Q,A-Estadistico,0.2571,0.1017,0.0985,PartialBypass,0.0,5,118,single_house
PCAT2Q,A-Estadistico,0.2571,0.1017,0.0985,Smoothing,0.2,5,118,single_house
PCAT2Q,A-Estadistico,0.2571,0.1017,0.0985,FlipSchedule,0.4,5,118,single_house
PCAT2Q,A-Estadistico,0.2571,0.1017,0.0985,SuddenDrop,0.0,5,118,single_house
PCAT2Q,A-Estadistico,0.2571,0.1017,0.0985,SyntheticNoise,0.2,5,118,single_house
PCAT2Q,A-Estadistico,0.2571,0.1017,0.0985,FlatLine,0.4,5,118,single_house
PCAT2Q,A-Estadistico,0.2571,0.1017,0.0985,SpikeEvent,0.6,5,118,single_house
KDE,A-Estadistico,0.1714,0.1017,0.0768,PartialBypass,0.0,5,118,single_house
KDE,A-Estadistico,0.1714,0.1017,0.0768,Smoothing,0.0,5,118,single_house
KDE,A-Estadistico,0.1714,0.1017,0.0768,FlipSchedule,0.4,5,118,single_house
KDE,A-Estadistico,0.1714,0.1017,0.0768,SuddenDrop,0.0,5,118,single_house
KDE,A-Estadistico,0.1714,0.1017,0.0768,SyntheticNoise,0.0,5,118,single_house
KDE,A-Estadistico,0.1714,0.1017,0.0768,FlatLine,0.2,5,118,single_house
KDE,A-Estadistico,0.1714,0.1017,0.0768,SpikeEvent,0.6,5,118,single_house
GMM,A-Estadistico,0.2286,0.1017,0.1449,PartialBypass,0.0,5,118,single_house
GMM,A-Estadistico,0.2286,0.1017,0.1449,Smoothing,0.0,5,118,single_house
GMM,A-Estadistico,0.2286,0.1017,0.1449,FlipSchedule,0.4,5,118,single_house
GMM,A-Estadistico,0.2286,0.1017,0.1449,SuddenDrop,0.0,5,118,single_house
GMM,A-Estadistico,0.2286,0.1017,0.1449,SyntheticNoise,0.2,5,118,single_house
GMM,A-Estadistico,0.2286,0.1017,0.1449,FlatLine,0.4,5,118,single_house
GMM,A-Estadistico,0.2286,0.1017,0.1449,SpikeEvent,0.6,5,118,single_house
