Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
RobustZMAD,A-Estadistico,0.0952,0.1,0.3206,PartialBypass,0.0,6,130,weekly_month
RobustZMAD,A-Estadistico,0.0952,0.1,0.3206,Smoothing,0.0,6,130,weekly_month
RobustZMAD,A-Estadistico,0.0952,0.1,0.3206,FlipSchedule,0.0,6,130,weekly_month
RobustZMAD,A-Estadistico,0.0952,0.1,0.3206,SuddenDrop,0.0,6,130,weekly_month
RobustZMAD,A-Estadistico,0.0952,0.1,0.3206,SyntheticNoise,0.1666666666666666,6,130,weekly_month
RobustZMAD,A-Estadistico,0.0952,0.1,0.3206,FlatLine,0.0,6,130,weekly_month
RobustZMAD,A-Estadistico,0.0952,0.1,0.3206,SpikeEvent,0.5,6,130,weekly_month
PCAT2Q,A-Estadistico,0.0238,0.1,0.0618,PartialBypass,0.0,6,130,weekly_month
PCAT2Q,A-Estadistico,0.0238,0.1,0.0618,Smoothing,0.0,6,130,weekly_month
PCAT2Q,A-Estadistico,0.0238,0.1,0.0618,FlipSchedule,0.1666666666666666,6,130,weekly_month
PCAT2Q,A-Estadistico,0.0238,0.1,0.0618,SuddenDrop,0.0,6,130,weekly_month
PCAT2Q,A-Estadistico,0.0238,0.1,0.0618,SyntheticNoise,0.0,6,130,weekly_month
PCAT2Q,A-Estadistico,0.0238,0.1,0.0618,FlatLine,0.0,6,130,weekly_month
PCAT2Q,A-Estadistico,0.0238,0.1,0.0618,SpikeEvent,0.0,6,130,weekly_month
KDE,A-Estadistico,0.0476,0.1,0.0308,PartialBypass,0.0,6,130,weekly_month
KDE,A-Estadistico,0.0476,0.1,0.0308,Smoothing,0.0,6,130,weekly_month
KDE,A-Estadistico,0.0476,0.1,0.0308,FlipSchedule,0.1666666666666666,6,130,weekly_month
KDE,A-Estadistico,0.0476,0.1,0.0308,SuddenDrop,0.0,6,130,weekly_month
KDE,A-Estadistico,0.0476,0.1,0.0308,SyntheticNoise,0.0,6,130,weekly_month
KDE,A-Estadistico,0.0476,0.1,0.0308,FlatLine,0.0,6,130,weekly_month
KDE,A-Estadistico,0.0476,0.1,0.0308,SpikeEvent,0.1666666666666666,6,130,weekly_month
GMM,A-Estadistico,0.0238,0.1,0.037,PartialBypass,0.0,6,130,weekly_month
GMM,A-Estadistico,0.0238,0.1,0.037,Smoothing,0.0,6,130,weekly_month
GMM,A-Estadistico,0.0238,0.1,0.037,FlipSchedule,0.0,6,130,weekly_month
GMM,A-Estadistico,0.0238,0.1,0.037,SuddenDrop,0.0,6,130,weekly_month
GMM,A-Estadistico,0.0238,0.1,0.037,SyntheticNoise,0.0,6,130,weekly_month
GMM,A-Estadistico,0.0238,0.1,0.037,FlatLine,0.0,6,130,weekly_month
GMM,A-Estadistico,0.0238,0.1,0.037,SpikeEvent,0.1666666666666666,6,130,weekly_month
KMeans,B-Clustering,0.0476,0.1,0.2065,PartialBypass,0.0,6,130,weekly_month
KMeans,B-Clustering,0.0476,0.1,0.2065,Smoothing,0.0,6,130,weekly_month
KMeans,B-Clustering,0.0476,0.1,0.2065,FlipSchedule,0.1666666666666666,6,130,weekly_month
KMeans,B-Clustering,0.0476,0.1,0.2065,SuddenDrop,0.0,6,130,weekly_month
KMeans,B-Clustering,0.0476,0.1,0.2065,SyntheticNoise,0.0,6,130,weekly_month
KMeans,B-Clustering,0.0476,0.1,0.2065,FlatLine,0.0,6,130,weekly_month
KMeans,B-Clustering,0.0476,0.1,0.2065,SpikeEvent,0.1666666666666666,6,130,weekly_month
HDBSCAN,B-Clustering,0.0,0.0,1.0,PartialBypass,0.0,6,130,weekly_month
HDBSCAN,B-Clustering,0.0,0.0,1.0,Smoothing,0.0,6,130,weekly_month
HDBSCAN,B-Clustering,0.0,0.0,1.0,FlipSchedule,0.0,6,130,weekly_month
HDBSCAN,B-Clustering,0.0,0.0,1.0,SuddenDrop,0.0,6,130,weekly_month
HDBSCAN,B-Clustering,0.0,0.0,1.0,SyntheticNoise,0.0,6,130,weekly_month
HDBSCAN,B-Clustering,0.0,0.0,1.0,FlatLine,0.0,6,130,weekly_month
HDBSCAN,B-Clustering,0.0,0.0,1.0,SpikeEvent,0.0,6,130,weekly_month
LOF,B-Clustering,0.0952,0.1,0.5622,PartialBypass,0.0,6,130,weekly_month
LOF,B-Clustering,0.0952,0.1,0.5622,Smoothing,0.0,6,130,weekly_month
LOF,B-Clustering,0.0952,0.1,0.5622,FlipSchedule,0.1666666666666666,6,130,weekly_month
LOF,B-Clustering,0.0952,0.1,0.5622,SuddenDrop,0.0,6,130,weekly_month
LOF,B-Clustering,0.0952,0.1,0.5622,SyntheticNoise,0.1666666666666666,6,130,weekly_month
LOF,B-Clustering,0.0952,0.1,0.5622,FlatLine,0.0,6,130,weekly_month
LOF,B-Clustering,0.0952,0.1,0.5622,SpikeEvent,0.3333333333333333,6,130,weekly_month
OPTICS,B-Clustering,0.0476,0.1,0.1566,PartialBypass,0.0,6,130,weekly_month
OPTICS,B-Clustering,0.0476,0.1,0.1566,Smoothing,0.0,6,130,weekly_month
OPTICS,B-Clustering,0.0476,0.1,0.1566,FlipSchedule,0.1666666666666666,6,130,weekly_month
OPTICS,B-Clustering,0.0476,0.1,0.1566,SuddenDrop,0.0,6,130,weekly_month
OPTICS,B-Clustering,0.0476,0.1,0.1566,SyntheticNoise,0.0,6,130,weekly_month
OPTICS,B-Clustering,0.0476,0.1,0.1566,FlatLine,0.0,6,130,weekly_month
OPTICS,B-Clustering,0.0476,0.1,0.1566,SpikeEvent,0.1666666666666666,6,130,weekly_month
IForest,C-ML,0.0238,0.1,0.393,PartialBypass,0.0,6,130,weekly_month
IForest,C-ML,0.0238,0.1,0.393,Smoothing,0.0,6,130,weekly_month
IForest,C-ML,0.0238,0.1,0.393,FlipSchedule,0.1666666666666666,6,130,weekly_month
IForest,C-ML,0.0238,0.1,0.393,SuddenDrop,0.0,6,130,weekly_month
IForest,C-ML,0.0238,0.1,0.393,SyntheticNoise,0.0,6,130,weekly_month
IForest,C-ML,0.0238,0.1,0.393,FlatLine,0.0,6,130,weekly_month
IForest,C-ML,0.0238,0.1,0.393,SpikeEvent,0.0,6,130,weekly_month
OCSVM,C-ML,0.0238,0.1,0.6348,PartialBypass,0.0,6,130,weekly_month
OCSVM,C-ML,0.0238,0.1,0.6348,Smoothing,0.0,6,130,weekly_month
OCSVM,C-ML,0.0238,0.1,0.6348,FlipSchedule,0.0,6,130,weekly_month
OCSVM,C-ML,0.0238,0.1,0.6348,SuddenDrop,0.0,6,130,weekly_month
OCSVM,C-ML,0.0238,0.1,0.6348,SyntheticNoise,0.0,6,130,weekly_month
OCSVM,C-ML,0.0238,0.1,0.6348,FlatLine,0.0,6,130,weekly_month
OCSVM,C-ML,0.0238,0.1,0.6348,SpikeEvent,0.1666666666666666,6,130,weekly_month
Autoencoder,C-ML,0.0714,0.1,0.0609,PartialBypass,0.0,6,130,weekly_month
Autoencoder,C-ML,0.0714,0.1,0.0609,Smoothing,0.0,6,130,weekly_month
Autoencoder,C-ML,0.0714,0.1,0.0609,FlipSchedule,0.0,6,130,weekly_month
Autoencoder,C-ML,0.0714,0.1,0.0609,SuddenDrop,0.0,6,130,weekly_month
Autoencoder,C-ML,0.0714,0.1,0.0609,SyntheticNoise,0.1666666666666666,6,130,weekly_month
Autoencoder,C-ML,0.0714,0.1,0.0609,FlatLine,0.0,6,130,weekly_month
Autoencoder,C-ML,0.0714,0.1,0.0609,SpikeEvent,0.3333333333333333,6,130,weekly_month
RobustPCA,D-Alternativo,0.0714,0.1,0.225,PartialBypass,0.0,6,130,weekly_month
RobustPCA,D-Alternativo,0.0714,0.1,0.225,Smoothing,0.0,6,130,weekly_month
RobustPCA,D-Alternativo,0.0714,0.1,0.225,FlipSchedule,0.0,6,130,weekly_month
RobustPCA,D-Alternativo,0.0714,0.1,0.225,SuddenDrop,0.0,6,130,weekly_month
RobustPCA,D-Alternativo,0.0714,0.1,0.225,SyntheticNoise,0.1666666666666666,6,130,weekly_month
RobustPCA,D-Alternativo,0.0714,0.1,0.225,FlatLine,0.0,6,130,weekly_month
RobustPCA,D-Alternativo,0.0714,0.1,0.225,SpikeEvent,0.3333333333333333,6,130,weekly_month
Conformal,D-Alternativo,0.0238,0.1,0.9521,PartialBypass,0.0,6,130,weekly_month
Conformal,D-Alternativo,0.0238,0.1,0.9521,Smoothing,0.0,6,130,weekly_month
Conformal,D-Alternativo,0.0238,0.1,0.9521,FlipSchedule,0.0,6,130,weekly_month
Conformal,D-Alternativo,0.0238,0.1,0.9521,SuddenDrop,0.0,6,130,weekly_month
Conformal,D-Alternativo,0.0238,0.1,0.9521,SyntheticNoise,0.0,6,130,weekly_month
Conformal,D-Alternativo,0.0238,0.1,0.9521,FlatLine,0.0,6,130,weekly_month
Conformal,D-Alternativo,0.0238,0.1,0.9521,SpikeEvent,0.1666666666666666,6,130,weekly_month
